Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,End Date
KKR,LH Ferguson,2021-2023,11,3.0,3.0,18.0,18.0,,11.0,163.63,0.0,0.0,0.0,1.0,1.0,2021-01-01,2023-12-31
KKR,CV Varun,2021-2025,58,9.0,7.0,15.0,10.0,7.5,31.0,48.38,0.0,0.0,1.0,2.0,0.0,2021-01-01,2025-12-31
KKR,Mandeep Singh,2023-2023,3,3.0,0.0,14.0,12.0,4.66,16.0,87.5,0.0,0.0,1.0,0.0,1.0,2023-01-01,2023-12-31
KKR,MA Starc,2024-2024,14,5.0,3.0,9.0,6.0,4.5,11.0,81.81,0.0,0.0,2.0,1.0,0.0,2024-01-01,2024-12-31
KKR,Harshit Rana,2022-2025,22,4.0,1.0,7.0,5.0,2.33,9.0,77.77,0.0,0.0,1.0,1.0,0.0,2022-01-01,2025-12-31
KKR,Rasikh Salam,2022-2022,2,1.0,0.0,7.0,7.0,7.0,6.0,116.66,0.0,0.0,0.0,1.0,0.0,2022-01-01,2022-12-31
KKR,Aman Hakim Khan,2022-2022,1,1.0,0.0,5.0,5.0,5.0,3.0,166.66,0.0,0.0,0.0,1.0,0.0,2022-01-01,2022-12-31
KKR,TG Southee,2021-2023,14,6.0,1.0,5.0,3.0,1.0,17.0,29.41,0.0,0.0,3.0,0.0,0.0,2021-01-01,2023-12-31
KKR,VG Arora,2023-2025,16,4.0,4.0,4.0,2.0,,3.0,133.33,0.0,0.0,0.0,0.0,0.0,2023-01-01,2025-12-31
KKR,Q de Kock,2025-2025,1,1.0,0.0,4.0,4.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,0.0,2025-01-01,2025-12-31
KKR,Harbhajan Singh,2021-2021,3,2.0,2.0,4.0,2.0,,4.0,100.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
KKR,Litton Das,2023-2023,1,1.0,0.0,4.0,4.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,2023-01-01,2023-12-31
KKR,A Tomar,2022-2022,1,1.0,0.0,4.0,4.0,4.0,8.0,50.0,0.0,0.0,0.0,1.0,0.0,2022-01-01,2022-12-31
KKR,TL Seifert,2021-2021,1,1.0,0.0,2.0,2.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
KKR,SH Johnson,2025-2025,1,1.0,1.0,1.0,1.0,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
KKR,KL Nagarkoti,2021-2021,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-01-01,2021-12-31
KKR,M Prasidh Krishna,2021-2021,10,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-01-01,2021-12-31
KKR,PVD Chameera,2024-2024,1,,,,,,,,,,,,,2024-01-01,2024-12-31
KKR,K Khejroliya,2023-2023,2,,,,,,,,,,,,,2023-01-01,2023-12-31
KKR,S Sandeep Warrier,2021-2021,1,,,,,,,,,,,,,2021-01-01,2021-12-31
KKR,Suyash Sharma,2023-2024,13,,,,,,,,,,,,,2023-01-01,2024-12-31
CSK,RD Gaikwad,2021-2025,61,60.0,6.0,2229.0,108.0,41.27,1596.0,139.66,2.0,16.0,4.0,207.0,88.0,2021-01-01,2025-12-31
CSK,S Dube,2022-2025,42,40.0,7.0,1112.0,95.0,33.69,700.0,158.85,0.0,8.0,3.0,62.0,80.0,2022-01-01,2025-12-31
CSK,DP Conway,2022-2023,23,22.0,3.0,924.0,92.0,48.63,654.0,141.28,0.0,9.0,2.0,99.0,30.0,2022-01-01,2023-12-31
CSK,MM Ali,2021-2024,48,40.0,4.0,853.0,93.0,23.69,626.0,136.26,0.0,3.0,4.0,74.0,44.0,2021-01-01,2024-12-31
CSK,RA Jadeja,2021-2025,57,46.0,22.0,817.0,62.0,34.04,592.0,138.0,0.0,2.0,2.0,59.0,31.0,2021-01-01,2025-12-31
CSK,AT Rayudu,2021-2023,45,36.0,6.0,689.0,78.0,22.96,507.0,135.89,0.0,3.0,2.0,51.0,41.0,2021-01-01,2023-12-31
CSK,F du Plessis,2021-2021,16,16.0,2.0,633.0,95.0,45.21,458.0,138.2,0.0,6.0,2.0,60.0,23.0,2021-01-01,2021-12-31
CSK,MS Dhoni,2021-2025,61,48.0,27.0,611.0,50.0,29.09,427.0,143.09,0.0,1.0,3.0,50.0,36.0,2021-01-01,2025-12-31
CSK,AM Rahane,2023-2024,27,23.0,1.0,568.0,71.0,25.81,385.0,147.53,0.0,2.0,0.0,47.0,23.0,2023-01-01,2024-12-31
CSK,RV Uthappa,2021-2022,16,15.0,0.0,345.0,88.0,23.0,255.0,135.29,0.0,3.0,1.0,27.0,19.0,2021-01-01,2022-12-31
CSK,DJ Mitchell,2024-2024,13,13.0,2.0,318.0,63.0,28.9,223.0,142.6,0.0,2.0,0.0,27.0,10.0,2024-01-01,2024-12-31
CSK,R Ravindra,2024-2025,11,11.0,1.0,287.0,65.0,28.7,183.0,156.83,0.0,2.0,1.0,24.0,16.0,2024-01-01,2025-12-31
CSK,SK Raina,2021-2021,12,11.0,2.0,160.0,54.0,17.77,128.0,125.0,0.0,1.0,0.0,13.0,9.0,2021-01-01,2021-12-31
CSK,DJ Bravo,2021-2022,21,9.0,6.0,70.0,23.0,23.33,42.0,166.66,0.0,0.0,1.0,4.0,5.0,2021-01-01,2022-12-31
CSK,SM Curran,2021-2025,10,5.0,1.0,60.0,34.0,15.0,38.0,157.89,0.0,0.0,0.0,5.0,3.0,2021-01-01,2025-12-31
CSK,Sameer Rizvi,2024-2024,8,5.0,1.0,51.0,21.0,12.75,43.0,118.6,0.0,0.0,1.0,4.0,2.0,2024-01-01,2024-12-31
CSK,D Pretorius,2022-2023,7,5.0,1.0,44.0,22.0,11.0,28.0,157.14,0.0,0.0,1.0,3.0,3.0,2022-01-01,2023-12-31
CSK,N Jagadeesan,2022-2022,2,2.0,1.0,40.0,39.0,40.0,37.0,108.1,0.0,0.0,0.0,3.0,1.0,2022-01-01,2022-12-31
CSK,MJ Santner,2022-2024,12,9.0,4.0,38.0,11.0,7.6,48.0,79.16,0.0,0.0,1.0,4.0,0.0,2022-01-01,2024-12-31
CSK,SN Thakur,2021-2024,25,7.0,4.0,26.0,17.0,8.66,22.0,118.18,0.0,0.0,1.0,2.0,1.0,2021-01-01,2024-12-31
CSK,BA Stokes,2023-2023,2,2.0,0.0,15.0,8.0,7.5,14.0,107.14,0.0,0.0,0.0,2.0,0.0,2023-01-01,2023-12-31
CSK,CJ Jordan,2022-2022,4,2.0,1.0,11.0,6.0,11.0,8.0,137.5,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
CSK,Simarjeet Singh,2022-2024,10,3.0,2.0,7.0,3.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,2022-01-01,2024-12-31
CSK,M Theekshana,2022-2024,27,2.0,1.0,7.0,7.0,7.0,7.0,100.0,0.0,0.0,1.0,0.0,1.0,2022-01-01,2024-12-31
CSK,Mukesh Choudhary,2022-2024,14,2.0,1.0,6.0,4.0,6.0,6.0,100.0,0.0,0.0,0.0,1.0,0.0,2022-01-01,2024-12-31
CSK,DJ Hooda,2025-2025,1,1.0,0.0,3.0,3.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
CSK,DL Chahar,2021-2024,33,3.0,3.0,2.0,1.0,,3.0,66.66,0.0,0.0,0.0,0.0,0.0,2021-01-01,2024-12-31
CSK,RJ Gleeson,2024-2024,2,1.0,1.0,2.0,2.0,,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
CSK,RA Tripathi,2025-2025,1,1.0,0.0,2.0,2.0,2.0,3.0,66.66,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
CSK,TU Deshpande,2022-2024,31,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2024-12-31
CSK,KK Ahmed,2025-2025,1,,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,Akash Singh,2023-2023,6,,,,,,,,,,,,,2023-01-01,2023-12-31
CSK,R Ashwin,2025-2025,1,,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,KM Asif,2021-2021,1,,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,NT Ellis,2025-2025,1,,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,RS Hangargekar,2023-2023,2,,,,,,,,,,,,,2023-01-01,2023-12-31
CSK,JR Hazlewood,2021-2021,9,,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,Imran Tahir,2021-2021,1,,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,SSB Magala,2023-2023,2,,,,,,,,,,,,,2023-01-01,2023-12-31
CSK,AF Milne,2022-2022,1,,,,,,,,,,,,,2022-01-01,2022-12-31
CSK,Mustafizur Rahman,2024-2024,9,,,,,,,,,,,,,2024-01-01,2024-12-31
CSK,L Ngidi,2021-2021,3,,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,Noor Ahmad,2025-2025,1,,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,M Pathirana,2022-2024,20,,,,,,,,,,,,,2022-01-01,2024-12-31
CSK,PH Solanki,2022-2022,2,,,,,,,,,,,,,2022-01-01,2022-12-31
MI,SA Yadav,2021-2025,50,50.0,4.0,1599.0,103.0,34.76,995.0,160.7,2.0,13.0,5.0,166.0,73.0,2021-01-01,2025-12-31
MI,Ishan Kishan,2021-2024,54,53.0,2.0,1433.0,84.0,28.09,1061.0,135.06,0.0,9.0,3.0,155.0,55.0,2021-01-01,2024-12-31
MI,RG Sharma,2021-2025,58,58.0,1.0,1398.0,105.0,24.52,1054.0,132.63,1.0,4.0,5.0,141.0,67.0,2021-01-01,2025-12-31
MI,NT Tilak Varma,2022-2025,39,39.0,9.0,1187.0,84.0,39.56,815.0,145.64,0.0,6.0,1.0,92.0,60.0,2022-01-01,2025-12-31
MI,TH David,2022-2024,37,34.0,12.0,658.0,46.0,29.9,384.0,171.35,0.0,0.0,3.0,38.0,46.0,2022-01-01,2024-12-31
MI,C Green,2023-2023,16,16.0,7.0,452.0,100.0,50.22,282.0,160.28,1.0,2.0,0.0,40.0,22.0,2023-01-01,2023-12-31
MI,KA Pollard,2021-2022,25,24.0,6.0,389.0,87.0,21.61,299.0,130.1,0.0,1.0,1.0,22.0,25.0,2021-01-01,2022-12-31
MI,N Wadhera,2023-2024,20,16.0,1.0,350.0,64.0,23.33,250.0,140.0,0.0,2.0,1.0,32.0,18.0,2023-01-01,2024-12-31
MI,HH Pandya,2021-2024,26,24.0,3.0,343.0,46.0,16.33,263.0,130.41,0.0,0.0,2.0,28.0,16.0,2021-01-01,2024-12-31
MI,Q de Kock,2021-2021,11,11.0,1.0,297.0,70.0,29.7,256.0,116.01,0.0,2.0,0.0,29.0,7.0,2021-01-01,2021-12-31
MI,D Brevis,2022-2024,10,10.0,0.0,230.0,49.0,23.0,172.0,133.72,0.0,0.0,1.0,17.0,16.0,2022-01-01,2024-12-31
MI,Naman Dhir,2024-2025,8,8.0,1.0,157.0,62.0,22.42,91.0,172.52,0.0,1.0,2.0,13.0,10.0,2024-01-01,2025-12-31
MI,KH Pandya,2021-2021,13,12.0,2.0,143.0,39.0,14.3,123.0,116.26,0.0,0.0,0.0,10.0,6.0,2021-01-01,2021-12-31
MI,SS Tiwary,2021-2021,5,4.0,2.0,115.0,50.0,57.5,97.0,118.55,0.0,1.0,0.0,10.0,2.0,2021-01-01,2021-12-31
MI,HR Shokeen,2022-2023,13,6.0,3.0,66.0,25.0,22.0,65.0,101.53,0.0,0.0,0.0,9.0,0.0,2022-01-01,2023-12-31
MI,JD Unadkat,2022-2022,5,5.0,2.0,59.0,19.0,19.66,37.0,159.45,0.0,0.0,0.0,4.0,3.0,2022-01-01,2022-12-31
MI,R Shepherd,2024-2024,6,5.0,3.0,57.0,39.0,28.5,21.0,271.42,0.0,0.0,0.0,5.0,5.0,2024-01-01,2024-12-31
MI,CA Lynn,2021-2021,1,1.0,0.0,49.0,49.0,49.0,35.0,140.0,0.0,0.0,0.0,4.0,3.0,2021-01-01,2021-12-31
MI,Ramandeep Singh,2022-2022,5,4.0,2.0,45.0,14.0,22.5,40.0,112.5,0.0,0.0,0.0,3.0,1.0,2022-01-01,2022-12-31
MI,PP Chawla,2021-2024,28,11.0,4.0,40.0,18.0,5.71,39.0,102.56,0.0,0.0,4.0,2.0,2.0,2021-01-01,2024-12-31
MI,DR Sams,2022-2022,11,10.0,3.0,38.0,15.0,5.42,36.0,105.55,0.0,0.0,2.0,1.0,3.0,2022-01-01,2022-12-31
MI,Vishnu Vinod,2023-2023,3,3.0,0.0,37.0,30.0,12.33,31.0,119.35,0.0,0.0,0.0,2.0,2.0,2023-01-01,2023-12-31
MI,Mohammad Nabi,2024-2024,7,5.0,1.0,35.0,23.0,8.75,31.0,112.9,0.0,0.0,1.0,2.0,2.0,2024-01-01,2024-12-31
MI,J Yadav,2021-2021,5,3.0,1.0,34.0,23.0,17.0,26.0,130.76,0.0,0.0,0.0,2.0,1.0,2021-01-01,2021-12-31
MI,Anmolpreet Singh,2021-2022,3,3.0,0.0,29.0,16.0,9.66,27.0,107.4,0.0,0.0,0.0,3.0,1.0,2021-01-01,2022-12-31
MI,JJ Bumrah,2021-2024,41,17.0,13.0,28.0,8.0,7.0,37.0,75.67,0.0,0.0,3.0,3.0,0.0,2021-01-01,2024-12-31
MI,DL Chahar,2025-2025,1,1.0,1.0,28.0,28.0,,15.0,186.66,0.0,0.0,0.0,2.0,2.0,2025-01-01,2025-12-31
MI,T Stubbs,2022-2023,4,4.0,0.0,27.0,20.0,6.75,35.0,77.14,0.0,0.0,1.0,2.0,0.0,2022-01-01,2023-12-31
MI,Arshad Khan,2023-2023,6,3.0,1.0,18.0,15.0,9.0,15.0,120.0,0.0,0.0,0.0,0.0,1.0,2023-01-01,2023-12-31
MI,AF Milne,2021-2021,4,3.0,1.0,16.0,15.0,8.0,17.0,94.11,0.0,0.0,1.0,0.0,1.0,2021-01-01,2021-12-31
MI,RD Chahar,2021-2021,11,5.0,0.0,14.0,8.0,2.8,15.0,93.33,0.0,0.0,3.0,1.0,0.0,2021-01-01,2021-12-31
MI,G Coetzee,2024-2024,10,5.0,1.0,14.0,8.0,3.5,22.0,63.63,0.0,0.0,1.0,0.0,1.0,2024-01-01,2024-12-31
MI,RD Rickelton,2025-2025,1,1.0,0.0,13.0,13.0,13.0,7.0,185.71,0.0,0.0,0.0,3.0,0.0,2025-01-01,2025-12-31
MI,AS Tendulkar,2023-2024,5,1.0,0.0,13.0,13.0,13.0,9.0,144.44,0.0,0.0,0.0,0.0,1.0,2023-01-01,2024-12-31
MI,M Ashwin,2022-2022,8,5.0,2.0,12.0,6.0,4.0,14.0,85.71,0.0,0.0,1.0,1.0,1.0,2022-01-01,2022-12-31
MI,WG Jacks,2025-2025,1,1.0,0.0,11.0,11.0,11.0,7.0,157.14,0.0,0.0,0.0,2.0,0.0,2025-01-01,2025-12-31
MI,MJ Santner,2025-2025,1,1.0,0.0,11.0,11.0,11.0,13.0,84.61,0.0,0.0,0.0,1.0,0.0,2025-01-01,2025-12-31
MI,K Kartikeya,2022-2023,12,2.0,0.0,9.0,6.0,4.5,12.0,75.0,0.0,0.0,0.0,1.0,0.0,2022-01-01,2023-12-31
MI,L Wood,2024-2024,2,1.0,1.0,9.0,9.0,,3.0,300.0,0.0,0.0,0.0,0.0,1.0,2024-01-01,2024-12-31
MI,FA Allen,2022-2022,1,1.0,0.0,8.0,8.0,8.0,7.0,114.28,0.0,0.0,0.0,1.0,0.0,2022-01-01,2022-12-31
MI,JP Behrendorff,2023-2023,12,2.0,2.0,6.0,3.0,,9.0,66.66,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
MI,CJ Jordan,2023-2023,6,2.0,0.0,6.0,4.0,3.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
MI,JC Archer,2023-2023,5,2.0,2.0,4.0,3.0,,4.0,100.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
MI,NM Coulter-Nile,2021-2021,5,2.0,0.0,4.0,3.0,2.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
MI,A Madhwal,2023-2024,13,1.0,1.0,4.0,4.0,,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2024-12-31
MI,R Minz,2025-2025,1,1.0,0.0,3.0,3.0,3.0,9.0,33.33,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
MI,TA Boult,2021-2025,15,5.0,4.0,2.0,1.0,2.0,6.0,33.33,0.0,0.0,0.0,0.0,0.0,2021-01-01,2025-12-31
MI,A Kamboj,2024-2024,3,1.0,1.0,2.0,2.0,,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
MI,SZ Mulani,2024-2024,2,1.0,1.0,1.0,1.0,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
MI,PVSN Raju,2025-2025,1,1.0,1.0,1.0,1.0,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
MI,M Jansen,2021-2021,2,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-01-01,2021-12-31
MI,DS Kulkarni,2021-2021,1,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
MI,RP Meredith,2022-2023,13,2.0,2.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2023-12-31
MI,TS Mills,2022-2022,5,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2022-01-01,2022-12-31
MI,JDS Neesham,2021-2021,3,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-01-01,2021-12-31
MI,R Sanjay Yadav,2022-2022,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2022-01-01,2022-12-31
MI,Basil Thampi,2022-2022,5,,,,,,,,,,,,,2022-01-01,2022-12-31
MI,S Gopal,2024-2024,3,,,,,,,,,,,,,2024-01-01,2024-12-31
MI,R Goyal,2023-2023,1,,,,,,,,,,,,,2023-01-01,2023-12-31
MI,D Jansen,2023-2023,1,,,,,,,,,,,,,2023-01-01,2023-12-31
MI,KT Maphaka,2024-2024,2,,,,,,,,,,,,,2024-01-01,2024-12-31
MI,M Markande,2022-2022,2,,,,,,,,,,,,,2022-01-01,2022-12-31
MI,V Puthur,2025-2025,1,,,,,,,,,,,,,2025-01-01,2025-12-31
MI,N Thushara,2024-2024,7,,,,,,,,,,,,,2024-01-01,2024-12-31
RCB,V Kohli,2021-2025,61,61.0,8.0,2185.0,113.0,41.22,1605.0,136.13,3.0,17.0,4.0,206.0,74.0,2021-01-01,2025-12-31
RCB,F du Plessis,2022-2024,45,45.0,2.0,1636.0,96.0,38.04,1113.0,146.99,0.0,15.0,2.0,156.0,70.0,2022-01-01,2024-12-31
RCB,GJ Maxwell,2021-2024,52,50.0,6.0,1266.0,78.0,28.77,795.0,159.24,0.0,12.0,8.0,114.0,69.0,2021-01-01,2024-12-31
RCB,RM Patidar,2021-2025,28,25.0,1.0,833.0,112.0,34.7,519.0,160.5,1.0,7.0,1.0,56.0,55.0,2021-01-01,2025-12-31
RCB,KD Karthik,2022-2024,44,42.0,15.0,796.0,83.0,29.48,458.0,173.79,0.0,3.0,6.0,67.0,49.0,2022-01-01,2024-12-31
RCB,D Padikkal,2021-2025,15,15.0,1.0,421.0,101.0,30.07,338.0,124.55,1.0,1.0,2.0,45.0,14.0,2021-01-01,2025-12-31
RCB,MK Lomror,2022-2024,29,25.0,4.0,346.0,54.0,16.47,222.0,155.85,0.0,1.0,3.0,25.0,21.0,2022-01-01,2024-12-31
RCB,Shahbaz Ahmed,2021-2023,37,24.0,5.0,320.0,45.0,16.84,273.0,117.21,0.0,0.0,0.0,21.0,12.0,2021-01-01,2023-12-31
RCB,Anuj Rawat,2022-2024,22,20.0,5.0,318.0,66.0,21.2,266.0,119.54,0.0,1.0,3.0,26.0,14.0,2022-01-01,2024-12-31
RCB,AB de Villiers,2021-2021,15,14.0,4.0,313.0,76.0,31.3,211.0,148.34,0.0,2.0,1.0,23.0,16.0,2021-01-01,2021-12-31
RCB,C Green,2024-2024,13,12.0,4.0,255.0,46.0,31.87,178.0,143.25,0.0,0.0,0.0,22.0,10.0,2024-01-01,2024-12-31
RCB,WG Jacks,2024-2024,8,8.0,1.0,230.0,100.0,32.85,131.0,175.57,1.0,1.0,0.0,16.0,18.0,2024-01-01,2024-12-31
RCB,KS Bharat,2021-2021,8,7.0,2.0,191.0,78.0,38.2,156.0,122.43,0.0,1.0,0.0,10.0,8.0,2021-01-01,2021-12-31
RCB,SS Prabhudessai,2022-2024,11,10.0,0.0,126.0,34.0,12.6,106.0,118.86,0.0,0.0,1.0,11.0,4.0,2022-01-01,2024-12-31
RCB,HV Patel,2021-2023,44,18.0,7.0,108.0,31.0,9.81,91.0,118.68,0.0,0.0,3.0,10.0,5.0,2021-01-01,2023-12-31
RCB,PW Hasaranga,2021-2023,26,14.0,4.0,72.0,18.0,7.2,73.0,98.63,0.0,0.0,3.0,7.0,1.0,2021-01-01,2023-12-31
RCB,KA Jamieson,2021-2021,9,7.0,3.0,65.0,16.0,16.25,55.0,118.18,0.0,0.0,0.0,5.0,3.0,2021-01-01,2021-12-31
RCB,Mohammed Siraj,2021-2024,58,14.0,8.0,63.0,14.0,10.5,69.0,91.3,0.0,0.0,2.0,6.0,3.0,2021-01-01,2024-12-31
RCB,MG Bracewell,2023-2023,5,4.0,2.0,58.0,26.0,29.0,47.0,123.4,0.0,0.0,0.0,6.0,1.0,2023-01-01,2023-12-31
RCB,PD Salt,2025-2025,1,1.0,0.0,56.0,56.0,56.0,31.0,180.64,0.0,1.0,0.0,9.0,2.0,2025-01-01,2025-12-31
RCB,DJ Willey,2022-2023,8,5.0,3.0,53.0,20.0,26.5,62.0,85.48,0.0,0.0,1.0,7.0,0.0,2022-01-01,2023-12-31
RCB,Swapnil Singh,2024-2024,7,5.0,3.0,37.0,15.0,18.5,21.0,176.19,0.0,0.0,1.0,3.0,3.0,2024-01-01,2024-12-31
RCB,KV Sharma,2023-2024,16,5.0,0.0,34.0,20.0,6.8,20.0,170.0,0.0,0.0,0.0,2.0,3.0,2023-01-01,2024-12-31
RCB,SE Rutherford,2022-2022,3,2.0,0.0,33.0,28.0,16.5,50.0,66.0,0.0,0.0,0.0,1.0,1.0,2022-01-01,2022-12-31
