Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start Date,End Date
GT,DA Miller,2022-2024,41,,,,,,,,,,,,2022-01-01,2024-12-31
GT,WP Saha,2022-2024,37,,,,,,,,,,,,2022-01-01,2024-12-31
GT,B Sai Sudharsan,2022-2025,26,,,,,,,,,,,,2022-01-01,2025-12-31
GT,MD Shanaka,2023-2023,3,,,,,,,,,,,,2023-01-01,2023-12-31
GT,BR Sharath,2024-2024,1,,,,,,,,,,,,2024-01-01,2024-12-31
GT,Shubman Gill,2022-2025,46,,,,,,,,,,,,2022-01-01,2025-12-31
GT,MS Wade,2022-2024,12,,,,,,,,,,,,2022-01-01,2024-12-31
GT,KS Williamson,2023-2024,3,,,,,,,,,,,,2023-01-01,2024-12-31
LSG,Ravi Bishnoi,2022-2025,44,43.0,152.1,0.0,1283.0,41.0,3/28,31.29,8.43,22.2,0.0,0.0,2022-01-01,2025-12-31
LSG,Mohsin Khan,2022-2024,24,23.0,81.0,2.0,689.0,27.0,4/16,25.51,8.5,18.0,1.0,0.0,2022-01-01,2024-12-31
LSG,Avesh Khan,2022-2023,22,22.0,76.4,1.0,699.0,26.0,4/24,26.88,9.11,17.6,1.0,0.0,2022-01-01,2023-12-31
LSG,Naveen-ul-Haq,2023-2024,18,17.0,64.3,0.0,591.0,25.0,4/38,23.64,9.16,15.4,1.0,0.0,2023-01-01,2024-12-31
LSG,KH Pandya,2022-2024,43,36.0,113.0,1.0,833.0,25.0,3/11,33.32,7.37,27.1,0.0,0.0,2022-01-01,2024-12-31
LSG,Yash Thakur,2023-2024,19,19.0,67.2,1.0,691.0,24.0,5/30,28.79,10.26,16.8,1.0,1.0,2023-01-01,2024-12-31
LSG,JO Holder,2022-2022,12,12.0,41.3,0.0,391.0,14.0,3/31,27.92,9.42,17.7,0.0,0.0,2022-01-01,2022-12-31
LSG,MP Stoinis,2022-2024,40,17.0,31.5,0.0,305.0,13.0,3/23,23.46,9.58,14.6,0.0,0.0,2022-01-01,2024-12-31
LSG,MA Wood,2023-2023,4,4.0,16.0,1.0,130.0,11.0,5/14,11.81,8.12,8.7,0.0,1.0,2023-01-01,2023-12-31
LSG,PVD Chameera,2022-2022,12,12.0,44.0,0.0,384.0,9.0,2/17,42.66,8.72,29.3,0.0,0.0,2022-01-01,2022-12-31
LSG,K Gowtham,2022-2024,12,11.0,30.0,1.0,246.0,8.0,2/30,30.75,8.2,22.5,0.0,0.0,2022-01-01,2024-12-31
LSG,A Mishra,2023-2024,8,8.0,21.0,0.0,169.0,8.0,2/21,21.12,8.04,15.7,0.0,0.0,2023-01-01,2024-12-31
LSG,MP Yadav,2024-2024,4,4.0,12.1,0.0,85.0,7.0,3/14,12.14,6.98,10.4,0.0,0.0,2024-01-01,2024-12-31
LSG,Yudhvir Singh,2023-2024,5,5.0,12.0,0.0,122.0,4.0,2/19,30.5,10.16,18.0,0.0,0.0,2023-01-01,2024-12-31
LSG,M Siddharth,2024-2025,4,4.0,13.0,0.0,110.0,3.0,2/39,36.66,8.46,26.0,0.0,0.0,2024-01-01,2025-12-31
LSG,A Badoni,2022-2025,43,5.0,4.1,0.0,36.0,2.0,1/5,18.0,8.64,12.5,0.0,0.0,2022-01-01,2025-12-31
LSG,DS Rathi,2025-2025,1,1.0,4.0,0.0,31.0,2.0,2/31,15.5,7.75,12.0,0.0,0.0,2025-01-01,2025-12-31
LSG,SN Thakur,2025-2025,1,1.0,2.0,0.0,19.0,2.0,2/19,9.5,9.5,6.0,0.0,0.0,2025-01-01,2025-12-31
LSG,AJ Tye,2022-2022,3,3.0,11.0,0.0,107.0,2.0,2/40,53.5,9.72,33.0,0.0,0.0,2022-01-01,2022-12-31
LSG,Arshad Khan,2024-2024,4,4.0,10.1,0.0,114.0,1.0,1/45,114.0,11.21,61.0,0.0,0.0,2024-01-01,2024-12-31
LSG,MJ Henry,2024-2024,4,4.0,12.0,0.0,110.0,1.0,1/28,110.0,9.16,72.0,0.0,0.0,2024-01-01,2024-12-31
LSG,DJ Hooda,2022-2024,38,5.0,8.0,0.0,73.0,1.0,1/31,73.0,9.12,48.0,0.0,0.0,2022-01-01,2024-12-31
LSG,S Joseph,2024-2024,1,1.0,4.0,0.0,47.0,0.0,,,11.75,,0.0,0.0,2024-01-01,2024-12-31
LSG,KR Mayers,2023-2023,13,6.0,7.0,0.0,59.0,0.0,,,8.42,,0.0,0.0,2023-01-01,2023-12-31
LSG,Prince Yadav,2025-2025,1,1.0,4.0,0.0,47.0,0.0,,,11.75,,0.0,0.0,2025-01-01,2025-12-31
LSG,Shahbaz Ahmed,2025-2025,1,1.0,1.3,0.0,22.0,0.0,,,14.66,,0.0,0.0,2025-01-01,2025-12-31
LSG,Swapnil Singh,2023-2023,2,2.0,2.0,0.0,18.0,0.0,,,9.0,,0.0,0.0,2023-01-01,2023-12-31
LSG,JD Unadkat,2023-2023,3,3.0,8.0,0.0,92.0,0.0,,,11.5,,0.0,0.0,2023-01-01,2023-12-31
LSG,Q de Kock,2022-2024,30,,,,,,,,,,,,2022-01-01,2024-12-31
LSG,AA Kulkarni,2024-2024,2,,,,,,,,,,,,2024-01-01,2024-12-31
LSG,E Lewis,2022-2022,6,,,,,,,,,,,,2022-01-01,2022-12-31
LSG,PN Mankad,2023-2023,5,,,,,,,,,,,,2023-01-01,2023-12-31
LSG,AK Markram,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
LSG,MR Marsh,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
LSG,DA Miller,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
LSG,D Padikkal,2024-2024,7,,,,,,,,,,,,2024-01-01,2024-12-31
LSG,MK Pandey,2022-2022,6,,,,,,,,,,,,2022-01-01,2022-12-31
LSG,RR Pant,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
LSG,N Pooran,2023-2025,30,,,,,,,,,,,,2023-01-01,2025-12-31
LSG,KL Rahul,2022-2024,38,,,,,,,,,,,,2022-01-01,2024-12-31
LSG,KS Sharma,2022-2023,3,,,,,,,,,,,,2022-01-01,2023-12-31
LSG,R Shepherd,2023-2023,1,,,,,,,,,,,,2023-01-01,2023-12-31
LSG,AJ Turner,2024-2024,2,,,,,,,,,,,,2024-01-01,2024-12-31
LSG,M Vohra,2022-2023,3,,,,,,,,,,,,2022-01-01,2023-12-31
