Player,Credits,Player Type,Team,Batting Form,Bowling Form,Fielding Form
Hardik Pandya,9.0,ALL,MI,70.55755395683452,92.5179856115108,55.32374100719424
Mitchell Santner,7.5,ALL,MI,55.68345323741006,69.29856115107914,55.32374100719424
Reece Topley,6.5,BOWL,MI,25.27724989819465,72.2661870503597,41.74630107234966
Corbin Bosch,6.0,ALL,MI,54.91067146282973,58.118705035971225,53.77697841726618
Jasprit Bumrah,9.0,BOWL,MI,14.154676258992804,62.37410071942446,44.53237410071942
Trent Boult,8.5,BOWL,MI,28.201438848920866,75.98920863309353,31.22302158273381
Suryakumar Yadav,9.0,BAT,MI,85.73741007194243,30.0,44.53237410071942
Deepak Chahar,8.0,BOWL,MI,64.49640287769783,72.96762589928058,44.53237410071942
Karn Sharma,6.5,BOWL,MI,14.154676258992804,77.931654676259,44.53237410071942
Rohit Sharma,9.0,BAT,MI,57.96762589928058,30.0,31.22302158273381
Musheer Khan,6.0,ALL,PBKS,54.91067146282973,58.118705035971225,53.77697841726618
Harnoor Singh Pannu,5.0,BAT,PBKS,68.95595718547114,30.961572205650118,51.83190033339182
Pyla Avinash,5.5,BAT,PBKS,68.95595718547114,30.961572205650118,51.83190033339182
Suryansh Shedge,5.5,ALL,PBKS,54.91067146282973,58.118705035971225,53.77697841726618
Harpreet Brar,6.5,BOWL,PBKS,25.27724989819465,72.2661870503597,41.74630107234966
Priyansh Arya,6.5,BAT,PBKS,68.95595718547114,30.961572205650118,51.83190033339182
Kuldeep Sen,6.0,BOWL,PBKS,25.27724989819465,72.2661870503597,41.74630107234966
Marco Jansen,8.0,ALL,PBKS,54.10071942446042,73.66906474820144,44.53237410071942
Nehal Wadhera,7.5,BAT,PBKS,75.8093525179856,30.0,31.22302158273381
Prabhsimran Singh,7.5,WK,PBKS,83.74100719424459,30.0,68.84892086330936
Aaron Hardie,7.0,ALL,PBKS,54.91067146282973,58.118705035971225,53.77697841726618
Arshdeep Singh,8.5,BOWL,PBKS,25.80935251798561,87.5179856115108,31.22302158273381
Azmatullah Omarzai,7.5,ALL,PBKS,45.269784172661865,30.539568345323744,31.22302158273381
Vishnu Vinod,6.5,WK,PBKS,79.05275779376498,29.992805755395686,69.93525179856115
Xavier Bartlett,6.5,BOWL,PBKS,25.27724989819465,72.2661870503597,41.74630107234966
Shashank Singh,7.5,BAT,PBKS,72.69784172661869,31.40287769784173,55.32374100719424
Lockie Ferguson,7.5,BOWL,PBKS,54.94604316546762,80.1978417266187,31.22302158273381
Josh Inglis,7.5,WK,PBKS,79.05275779376498,29.992805755395686,69.93525179856115
Vyshak Vijaykumar,7.0,BOWL,PBKS,14.154676258992804,40.57553956834532,31.22302158273381
Pravin Dubey,6.0,BOWL,PBKS,25.27724989819465,72.2661870503597,41.74630107234966
Yash Thakur,6.5,BOWL,PBKS,14.154676258992804,52.87769784172662,31.22302158273381
Shreyas Iyer,8.5,BAT,PBKS,96.58273381294964,30.0,55.32374100719424
Marcus Stoinis,8.0,ALL,PBKS,62.73381294964028,33.56115107913669,31.22302158273381
Yuzvendra Chahal,8.5,BOWL,PBKS,14.154676258992804,75.39568345323741,55.32374100719424
Glenn Maxwell,8.5,ALL,PBKS,47.12230215827337,79.1726618705036,71.69064748201438
Abhinandan Singh,5.0,BOWL,RCB,25.27724989819465,72.2661870503597,41.74630107234966
Swastik Chikara,5.5,BAT,RCB,68.95595718547114,30.961572205650118,51.83190033339182
Mohit Rathee,6.0,ALL,RCB,54.91067146282973,58.118705035971225,53.77697841726618
Suyash Sharma,6.0,BOWL,RCB,14.154676258992804,68.72302158273382,31.22302158273381
Jacob Bethell,7.0,BAT,RCB,68.95595718547114,30.961572205650118,51.83190033339182
Rasikh Salam,6.5,BOWL,RCB,14.154676258992804,54.71223021582734,44.53237410071942
Yash Dayal,7.0,BOWL,RCB,14.154676258992804,83.9928057553957,44.53237410071942
Manoj Bhandage,6.5,ALL,RCB,54.91067146282973,58.118705035971225,53.77697841726618
Nuwan Thushara,7.5,BOWL,RCB,25.27724989819465,72.2661870503597,41.74630107234966
Romario Shepherd,7.0,ALL,RCB,54.91067146282973,58.118705035971225,53.77697841726618
Tim David,7.5,BAT,RCB,79.82014388489208,30.0,63.59712230215827
Devdutt Padikkal,7.0,BAT,RCB,69.04676258992805,30.0,44.53237410071942
Krunal Pandya,7.5,ALL,RCB,39.13669064748201,83.9568345323741,44.53237410071942
Rajat Patidar,8.0,BAT,RCB,85.68345323741006,30.0,44.53237410071942
Jitesh Sharma,7.5,WK,RCB,69.85611510791367,30.0,99.20863309352518
Lungi Ngidi,7.5,BOWL,RCB,25.27724989819465,72.2661870503597,41.74630107234966
Philip Salt,8.5,WK,RCB,92.4640287769784,30.0,69.17266187050359
Liam Livingstone,8.0,ALL,RCB,61.52877697841727,72.5,63.59712230215827
Josh Hazlewood,8.5,BOWL,RCB,14.154676258992804,89.98201438848922,31.22302158273381
Bhuvneshwar Kumar,8.0,BOWL,RCB,24.478417266187048,86.61870503597122,31.22302158273381
Swapnil Singh,7.0,ALL,RCB,54.91067146282973,58.118705035971225,53.77697841726618
Virat Kohli,9.0,BAT,RCB,83.86690647482014,30.0,55.32374100719424
Vaibhav Suryavanshi,5.0,BAT,RR,68.95595718547114,30.961572205650118,51.83190033339182
Ashok Sharma,5.0,BOWL,RR,25.27724989819465,72.2661870503597,41.74630107234966
Kwena Maphaka,6.0,BOWL,RR,25.27724989819465,72.2661870503597,41.74630107234966
Kunal Singh Rathore,5.0,WK,RR,79.05275779376498,29.992805755395686,69.93525179856115
Akash Madhwal,7.0,BOWL,RR,25.27724989819465,72.2661870503597,41.74630107234966
Shubham Dubey,5.5,BAT,RR,66.67266187050359,30.0,31.22302158273381
Yudhvir Singh Charak,6.5,ALL,RR,14.154676258992804,35.935251798561154,31.22302158273381
Maheesh Theekshana,7.5,BOWL,RR,31.097122302158272,76.4748201438849,31.22302158273381
Dhruv Jurel,7.5,WK,RR,81.63669064748201,30.0,64.74820143884892
Kumar Kartikeya,6.0,BOWL,RR,29.55035971223021,70.23381294964028,31.22302158273381
Yashasvi Jaiswal,9.0,BAT,RR,76.49280575539568,30.0,72.94964028776978
FazalHaq Farooqi,7.0,BOWL,RR,14.154676258992804,31.618705035971225,31.22302158273381
Riyan Parag,8.0,ALL,RR,81.69064748201438,46.618705035971225,63.59712230215827
Tushar Deshpande,7.5,BOWL,RR,33.77697841726618,70.48561151079136,44.53237410071942
Jofra Archer,8.0,BOWL,RR,52.2661870503597,71.56474820143885,44.53237410071942
Wanindu Hasaranga,8.5,ALL,RR,33.29136690647482,78.25539568345323,55.32374100719424
Nitish Rana,7.5,ALL,RR,78.38129496402877,42.19424460431655,31.22302158273381
Shimron Hetmyer,7.5,BAT,RR,76.38489208633092,30.0,71.69064748201438
Sandeep Sharma,7.5,BOWL,RR,35.68345323741006,75.34172661870504,44.53237410071942
Sanju Samson,9.0,WK,RR,78.27338129496403,30.0,79.92805755395683
Aniket Verma,5.0,BAT,SRH,68.95595718547114,30.961572205650118,51.83190033339182
Eshan Malinga,6.0,BOWL,SRH,25.27724989819465,72.2661870503597,41.74630107234966
K Nitish Reddy,8.0,ALL,SRH,59.85611510791365,30.0,55.32374100719424
Abhinav Manohar,6.5,BAT,SRH,29.5863309352518,30.0,55.32374100719424
Atharva Taide,6.5,BAT,SRH,68.95595718547114,30.961572205650118,51.83190033339182
Simarjeet- Singh,6.0,BOWL,SRH,27.625899280575545,56.960431654676256,31.22302158273381
Rahul Chahar,6.5,BOWL,SRH,25.27724989819465,72.2661870503597,41.74630107234966
Abhishek Sharma,8.5,ALL,SRH,91.8525179856115,35.50359712230216,31.22302158273381
Kamindu Mendis,7.0,BAT,SRH,68.95595718547114,30.961572205650118,51.83190033339182
Wiaan Mulder,7.0,ALL,SRH,54.91067146282973,58.118705035971225,53.77697841726618
Zeeshan Ansari,5.5,BOWL,SRH,25.27724989819465,72.2661870503597,41.74630107234966
Ishan Kishan,8.0,WK,SRH,81.92446043165467,29.892086330935257,44.53237410071942
Heinrich Klaasen,9.0,WK,SRH,84.65827338129495,30.0,79.60431654676258
Sachin Baby,6.5,BAT,SRH,68.95595718547114,30.961572205650118,51.83190033339182
Travis Head,9.0,BAT,SRH,92.35611510791368,30.0,44.53237410071942
Adam Zampa,7.5,BOWL,SRH,14.154676258992804,59.65827338129496,31.22302158273381
Harshal Patel,8.0,BOWL,SRH,35.089928057553955,83.63309352517986,55.32374100719424
Pat Cummins,8.5,BOWL,SRH,64.85611510791367,65.68345323741008,69.17266187050359
Mohammed Shami,8.5,BOWL,SRH,38.36330935251798,68.86690647482014,44.53237410071942
Jaydev Unadkat,7.0,BOWL,SRH,14.154676258992804,45.10791366906475,31.22302158273381
