Player,Credits,Player Type,Bowler Type,Team,Batting Form,Bowling Form,Fielding Form
Dhruv Jurel,7.5,WK,-,RR,80.88888888888889,30.0,66.92592592592592
Kumar Kartikeya,6.0,BOWL,SPIN,RR,28.499999999999996,62.277777777777786,32.629629629629626
Yashasvi Jaiswal,9.0,BAT,-,RR,68.62962962962963,30.0,73.0
FazalHaq Farooqi,7.0,BOWL,PACE,RR,14.5,33.51851851851852,32.629629629629626
Riyan Parag,8.0,ALL,SPIN,RR,82.92592592592592,48.18518518518519,65.5925925925926
Tushar Deshpande,7.5,BOWL,PACE,RR,33.388888888888886,75.0,46.888888888888886
Jofra Archer,8.0,BOWL,PACE,RR,49.75925925925926,76.0,46.888888888888886
Wanindu Hasaranga,8.5,ALL,SPIN,RR,33.2037037037037,85.57407407407408,57.44444444444444
Nitish Rana,7.5,ALL,-,RR,80.38888888888887,44.18518518518519,32.629629629629626
Shimron Hetmyer,7.5,BAT,-,RR,80.37037037037037,30.0,73.0
Sandeep Sharma,7.5,BOWL,PACE,RR,31.370370370370367,81.55555555555557,46.888888888888886
Sanju Samson,9.0,WK,-,RR,84.29629629629629,30.0,82.25925925925925
Aniket Verma,5.0,BAT,-,SRH,,,
Eshan Malinga,6.0,BOWL,-,SRH,,,
K Nitish Reddy,8.0,ALL,PACE,SRH,64.75925925925925,30.0,46.888888888888886
Abhinav Manohar,6.5,BAT,-,SRH,29.481481481481477,30.0,57.44444444444444
Atharva Taide,6.5,BAT,-,SRH,,,
Simarjeet- Singh,6.0,BOWL,PACE,SRH,27.592592592592588,59.7037037037037,32.629629629629626
Rahul Chahar,6.5,BOWL,SPIN,SRH,,,
Abhishek Sharma,8.5,ALL,SPIN,SRH,51.77777777777777,37.51851851851852,32.629629629629626
Kamindu Mendis,7.0,BAT,-,SRH,,,
Wiaan Mulder,7.0,ALL,PACE,SRH,,,
Zeeshan Ansari,5.5,BOWL,-,SRH,,,
Ishan Kishan,8.0,WK,-,SRH,83.94444444444444,31.740740740740744,46.888888888888886
Heinrich Klaasen,9.0,WK,-,SRH,86.07407407407408,30.0,81.22222222222223
Sachin Baby,6.5,BAT,-,SRH,,,
Travis Head,9.0,BAT,-,SRH,87.88888888888887,30.0,32.629629629629626
Adam Zampa,7.5,BOWL,SPIN,SRH,14.5,62.7037037037037,32.629629629629626
Harshal Patel,8.0,BOWL,PACE,SRH,37.03703703703704,77.94444444444446,57.44444444444444
Pat Cummins,8.5,BOWL,PACE,SRH,64.44444444444444,70.38888888888889,65.5925925925926
Mohammed Shami,8.5,BOWL,PACE,SRH,38.66666666666667,81.55555555555556,46.888888888888886
Jaydev Unadkat,7.0,BOWL,PACE,SRH,14.5,46.62962962962963,32.629629629629626
