player,team,Inferred_Role,match_id,Batting_Form,Bowling_Form,Fielding_Form,Player_Form
Sandeep Sharma,Rajasthan Royals,BOWL,2024-05-24,0.0,65.5,0,65.5
Sanvir Singh,Sunrisers Hyderabad,Unknown,2024-05-21,0.0,0.0,0,0.0
Saurav Chauhan,Royal Challengers Bengaluru,Unknown,2024-04-15,0.0,0.0,0,0.0
Shahbaz Ahmed,Sunrisers Hyderabad,ALL,2024-05-26,38.105714285714285,32.0,10,37.05285714285714
Shashank Singh,Punjab Kings,ALL,2024-05-19,33.84,27.0,10,32.42
Shivam Mavi,Sunrisers Hyderabad,WK,2023-05-15,0.0,0.0,10,4.0
Shivam Singh,Punjab Kings,BAT,2024-05-19,19.999999999999996,0.0,20,23.999999999999996
Shubman Gill,Gujarat Titans,BAT,2024-05-10,66.26727272727273,0.0,0,66.26727272727273
Sikandar Raza,Punjab Kings,BAT,2024-04-09,54.421818181818175,0.0,0,54.421818181818175
Simarjeet Singh,Chennai Super Kings,Unknown,2024-05-18,0.0,0.0,0,0.0
Sonu Yadav,Lucknow Super Giants,Unknown,2023-05-01,0.0,0.0,15,0.0
Subhransu Senapati,Gujarat Titans,Unknown,2023-05-23,0.0,0.0,15,0.0
Sumit Kumar,Mumbai Indians,Unknown,2024-04-27,0.0,0.0,15,0.0
Suyash Sharma,Kolkata Knight Riders,Unknown,2024-04-21,0.0,0.0,0,0.0
Swapnil Singh,Royal Challengers Bengaluru,Unknown,2024-05-22,0.0,0.0,0,0.0
T Kohler-Cadmore,Rajasthan Royals,BAT,2024-05-24,30.25,0.0,10,32.25
T Natarajan,Sunrisers Hyderabad,Unknown,2024-05-26,0.0,0.0,0,0.0
T Stubbs,Delhi Capitals,ALL,2024-05-14,83.74,36.0,0,59.87
TA Boult,Rajasthan Royals,Unknown,2024-05-24,0.0,0.0,0,0.0
TG Southee,Kolkata Knight Riders,Unknown,2023-04-06,0.0,0.0,0,0.0
TH David,Mumbai Indians,Unknown,2024-05-11,0.0,0.0,0,0.0
TM Head,Sunrisers Hyderabad,Unknown,2024-05-26,0.0,0.0,0,0.0
TU Deshpande,Chennai Super Kings,BOWL,2024-05-18,0.0,108.75,0,108.75
Tanay Thyagarajan,Punjab Kings,WK,2024-03-30,0.0,0.0,10,4.0
Tanush Kotian,Rajasthan Royals,BAT,2024-04-13,23.525806451612905,0.0,15,26.525806451612905
Tilak Varma,Mumbai Indians,BAT,2024-05-11,78.1905882352941,0.0,15,81.1905882352941
UT Yadav,Gujarat Titans,BOWL,2024-05-10,0.0,82.66666666666666,0,82.66666666666666
Umran Malik,Sunrisers Hyderabad,Unknown,2024-03-27,0.0,0.0,0,0.0
V Kaverappa,Punjab Kings,BOWL,2024-05-09,0.0,27.0,0,27.0
V Kohli,Royal Challengers Bengaluru,BAT,2024-05-22,75.01,0.0,15,78.01
V Shankar,Gujarat Titans,BAT,2024-05-04,49.65714285714286,0.0,0,49.65714285714286
V Viyaskanth,Sunrisers Hyderabad,Unknown,2024-05-21,0.0,0.0,20,0.0
VG Arora,Kolkata Knight Riders,BOWL,2024-05-26,0.0,52.66666666666667,0,52.66666666666667
VR Iyer,Kolkata Knight Riders,BAT,2024-05-26,83.5,0.0,0,83.5
Vijaykumar Vyshak,Royal Challengers Bengaluru,BOWL,2024-05-04,0.0,83.71428571428572,35,90.71428571428572
Vishnu Vinod,Mumbai Indians,BAT,2023-05-26,27.828571428571426,0.0,0,27.828571428571426
Vivrant Sharma,Sunrisers Hyderabad,Unknown,2023-05-21,0.0,0.0,0,0.0
WD Parnell,Royal Challengers Bangalore,Unknown,2023-05-21,0.0,0.0,10,0.0
WG Jacks,Royal Challengers Bengaluru,Unknown,2024-05-12,0.0,0.0,20,0.0
WP Saha,Gujarat Titans,BAT,2024-05-04,12.685714285714287,0.0,10,14.685714285714287
Washington Sundar,Sunrisers Hyderabad,BOWL,2024-04-20,0.0,-31.0,0,-31.0
YBK Jaiswal,Rajasthan Royals,BAT,2024-05-24,77.98,0.0,0,77.98
YS Chahal,Rajasthan Royals,Unknown,2024-05-24,0.0,0.0,30,0.0
YV Dhull,Delhi Capitals,BAT,2023-05-20,26.55,0.0,0,26.55
Yash Dayal,Royal Challengers Bengaluru,Unknown,2024-05-22,0.0,0.0,0,0.0
Yash Thakur,Lucknow Super Giants,Unknown,2024-05-08,0.0,0.0,0,0.0
Yudhvir Singh,Lucknow Super Giants,Unknown,2024-05-14,0.0,0.0,0,0.0
