Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start Date,End Date
DC,A Nortje,2021-2024,30,30.0,6.0,6.0,0.0,0.0,6.0,,0.2,2021-01-01,2024-12-31
DC,PD Salt,2023-2023,9,9.0,5.0,5.0,0.0,5.0,0.0,,0.555,2023-01-01,2023-12-31
DC,SO Hetmyer,2021-2021,14,14.0,4.0,4.0,0.0,0.0,4.0,,0.285,2021-01-01,2021-12-31
DC,SN Khan,2022-2023,10,10.0,4.0,4.0,0.0,2.0,2.0,,0.4,2022-01-01,2023-12-31
DC,KK Ahmed,2022-2024,33,33.0,3.0,3.0,0.0,0.0,3.0,,0.09,2022-01-01,2024-12-31
DC,R Ashwin,2021-2021,13,13.0,3.0,3.0,0.0,0.0,3.0,,0.23,2021-01-01,2021-12-31
DC,J Fraser-McGurk,2024-2025,10,10.0,3.0,3.0,0.0,0.0,3.0,,0.3,2024-01-01,2025-12-31
DC,MR Marsh,2022-2024,21,21.0,3.0,3.0,0.0,0.0,3.0,,0.142,2022-01-01,2024-12-31
DC,MK Pandey,2023-2023,10,10.0,3.0,3.0,0.0,0.0,3.0,,0.3,2023-01-01,2023-12-31
DC,RR Rossouw,2023-2023,9,9.0,3.0,3.0,0.0,0.0,3.0,,0.333,2023-01-01,2023-12-31
DC,YV Dhull,2023-2023,4,4.0,2.0,2.0,0.0,0.0,2.0,,0.5,2023-01-01,2023-12-31
DC,RV Patel,2021-2023,9,9.0,2.0,2.0,0.0,0.0,2.0,,0.222,2021-01-01,2023-12-31
DC,C Sakariya,2022-2023,5,5.0,2.0,2.0,0.0,0.0,2.0,,0.4,2022-01-01,2023-12-31
DC,I Sharma,2021-2024,20,20.0,2.0,2.0,0.0,0.0,2.0,,0.1,2021-01-01,2024-12-31
DC,MP Stoinis,2021-2021,10,10.0,2.0,2.0,0.0,0.0,2.0,,0.2,2021-01-01,2021-12-31
DC,Avesh Khan,2021-2021,16,16.0,1.0,1.0,0.0,0.0,1.0,,0.062,2021-01-01,2021-12-31
DC,F du Plessis,2025-2025,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2025-01-01,2025-12-31
DC,Gulbadin Naib,2024-2024,2,2.0,1.0,1.0,0.0,0.0,1.0,,0.5,2024-01-01,2024-12-31
DC,K Kushagra,2024-2024,4,4.0,1.0,1.0,0.0,0.0,1.0,,0.25,2024-01-01,2024-12-31
DC,Mandeep Singh,2022-2022,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2022-01-01,2022-12-31
DC,Mustafizur Rahman,2022-2023,10,10.0,1.0,1.0,0.0,0.0,1.0,,0.1,2022-01-01,2023-12-31
DC,Rasikh Salam,2024-2024,8,8.0,1.0,1.0,0.0,0.0,1.0,,0.125,2024-01-01,2024-12-31
DC,TL Seifert,2022-2022,2,2.0,1.0,1.0,0.0,0.0,1.0,,0.5,2022-01-01,2022-12-31
DC,MA Starc,2025-2025,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2025-01-01,2025-12-31
DC,Sumit Kumar,2024-2024,4,4.0,1.0,1.0,0.0,0.0,1.0,,0.25,2024-01-01,2024-12-31
DC,LB Williams,2024-2024,2,2.0,1.0,1.0,0.0,0.0,1.0,,0.5,2024-01-01,2024-12-31
DC,KS Bharat,2022-2022,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
DC,RK Bhui,2024-2024,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
DC,TK Curran,2021-2021,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
DC,P Dubey,2023-2023,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
DC,PK Garg,2023-2023,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
DC,LI Meriwala,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
DC,A Mishra,2021-2021,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
DC,KL Nagarkoti,2022-2022,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
DC,V Nigam,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
DC,AM Rahane,2021-2021,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
DC,JA Richardson,2024-2024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
DC,Sameer Rizvi,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
DC,AR Sharma,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
DC,MM Sharma,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
DC,CR Woakes,2021-2021,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
GT,WP Saha,2022-2024,37,37.0,31.0,25.0,6.0,25.0,0.0,,0.837,2022-01-01,2024-12-31
GT,Rashid Khan,2022-2025,46,46.0,23.0,23.0,0.0,0.0,23.0,,0.5,2022-01-01,2025-12-31
GT,DA Miller,2022-2024,41,41.0,22.0,22.0,0.0,0.0,22.0,,0.536,2022-01-01,2024-12-31
GT,R Tewatia,2022-2025,46,46.0,19.0,19.0,0.0,0.0,19.0,,0.413,2022-01-01,2025-12-31
GT,Shubman Gill,2022-2025,46,46.0,14.0,14.0,0.0,0.0,14.0,,0.304,2022-01-01,2025-12-31
GT,HH Pandya,2022-2023,31,31.0,12.0,12.0,0.0,0.0,12.0,,0.387,2022-01-01,2023-12-31
GT,MM Sharma,2023-2024,26,26.0,10.0,10.0,0.0,0.0,10.0,,0.384,2023-01-01,2024-12-31
GT,A Manohar,2022-2024,19,19.0,9.0,9.0,0.0,0.0,9.0,,0.473,2022-01-01,2024-12-31
GT,MS Wade,2022-2024,12,12.0,9.0,8.0,1.0,7.0,1.0,,0.75,2022-01-01,2024-12-31
GT,Mohammed Shami,2022-2023,33,33.0,8.0,8.0,0.0,0.0,8.0,,0.242,2022-01-01,2023-12-31
GT,V Shankar,2022-2024,25,25.0,8.0,8.0,0.0,0.0,8.0,,0.32,2022-01-01,2024-12-31
GT,Noor Ahmad,2023-2024,23,23.0,7.0,7.0,0.0,0.0,7.0,,0.304,2023-01-01,2024-12-31
GT,M Shahrukh Khan,2024-2025,8,8.0,6.0,6.0,0.0,0.0,6.0,,0.75,2024-01-01,2025-12-31
GT,JB Little,2023-2024,11,11.0,5.0,5.0,0.0,0.0,5.0,,0.454,2023-01-01,2024-12-31
GT,R Sai Kishore,2022-2025,11,11.0,5.0,5.0,0.0,0.0,5.0,,0.454,2022-01-01,2025-12-31
GT,B Sai Sudharsan,2022-2025,26,26.0,4.0,4.0,0.0,0.0,4.0,,0.153,2022-01-01,2025-12-31
GT,AS Joseph,2022-2023,16,16.0,3.0,3.0,0.0,0.0,3.0,,0.187,2022-01-01,2023-12-31
GT,Arshad Khan,2025-2025,1,1.0,2.0,2.0,0.0,0.0,2.0,,2.0,2025-01-01,2025-12-31
GT,LH Ferguson,2022-2022,13,13.0,2.0,2.0,0.0,0.0,2.0,,0.153,2022-01-01,2022-12-31
GT,SH Johnson,2024-2024,5,5.0,2.0,2.0,0.0,0.0,2.0,,0.4,2024-01-01,2024-12-31
GT,DG Nalkande,2022-2024,6,6.0,2.0,2.0,0.0,0.0,2.0,,0.333,2022-01-01,2024-12-31
GT,MD Shanaka,2023-2023,3,3.0,2.0,2.0,0.0,0.0,2.0,,0.666,2023-01-01,2023-12-31
GT,Yash Dayal,2022-2023,14,14.0,2.0,2.0,0.0,0.0,2.0,,0.142,2022-01-01,2023-12-31
