Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Kunal Singh Rathore,72.81259259259258,35.64023456790123,68.5262962962963,5.0,WK,-,RR
Kwena Maphaka,20.06328602012417,58.15473752943696,37.70345964461571,6.0,BOWL,PACE,RR
Liam Livingstone,70.8597302504817,69.2100620852066,60.75874545065296,8.0,ALL,SPIN,RCB
Lockie Ferguson,43.94409120102762,74.01933204881182,36.51415114536502,7.5,BOWL,PACE,PBKS
Lokesh Rahul,89.74565403553842,35.55780346820809,82.0299079426247,9.0,WK,-,DC
Lungi Ngidi,24.908407407407406,70.05296296296297,39.574592592592595,7.5,BOWL,PACE,RCB
Luvnith Sisodia,72.81259259259258,35.64023456790123,68.5262962962963,5.5,WK,-,KKR
MS Dhoni,75.52245771783343,35.55780346820809,87.71076857204024,7.0,WK,-,CHE
Madhav Tiwari,55.434876543209874,56.21592592592593,53.230395061728395,5.0,ALL,-,DC
Maheesh Theekshana,28.98139584671376,71.9705095268679,34.129758081781205,7.5,BOWL,SPIN,RR
Mahipal Lomror,70.83444926140011,29.917616944979663,54.32808017555128,6.5,BAT,-,GT
Manav Suthar,42.79759330621565,46.41251552130165,45.029262113751514,6.0,ALL,SPIN,GT
Manimaran Siddharth,12.876878612716762,62.335559837293935,42.72395632626846,6.0,BOWL,SPIN,LSG
Manish Pandey,52.031395846713764,35.55780346820809,35.04016270605866,7.0,BAT,-,KKR
Manoj Bhandage,55.434876543209874,56.21592592592593,53.230395061728395,6.5,ALL,-,RCB
Manvanth Kumar L,55.434876543209874,56.21592592592593,53.230395061728395,5.5,ALL,-,DC
Marco Jansen,53.39899379147934,67.77420252622564,48.01297366730892,8.0,ALL,PACE,PBKS
Marcus Stoinis,50.26687004923999,44.094690644401624,38.031492185827446,8.0,ALL,PACE,PBKS
Matheesha Pathirana,12.876878612716762,80.9121387283237,56.05215157353885,8.5,BOWL,PACE,CHE
Matthew Breetzke,66.69861111111109,34.63165740740741,53.139351851851856,6.5,BAT,-,LSG
Mayank Markande,33.64132070220509,69.03190515949476,42.73236137871976,6.0,BOWL,SPIN,KKR
Mayank Yadav,20.06328602012417,70.06803232712481,39.65432669663883,7.5,BOWL,PACE,LSG
Mitchell Marsh,89.94200385356451,40.968208092485554,33.65287946906444,8.0,BAT,-,LSG
Mitchell Santner,51.26134660672232,60.652890173410405,51.50012845215157,7.5,ALL,SPIN,MI
Mitchell Starc,26.014932562620416,82.29847998287305,53.79781631342325,8.5,BOWL,PACE,DC
Moeen Ali,44.13092485549133,78.99920787839862,53.518754014129726,7.0,ALL,SPIN,KKR
Mohammed Shami,32.75452793834297,75.16692357096981,46.58233782915863,8.5,BOWL,PACE,SRH
Mohammed Siraj,20.767052023121387,90.0070755726825,50.48407193320487,8.0,BOWL,PACE,GT
Mohit Rathee,42.61984764147577,46.20442303575252,45.029262113751514,6.0,ALL,SPIN,RCB
Mohit Sharma,21.166720188396482,69.00582316420467,37.337850567330335,7.5,BOWL,PACE,DC
Mohsin Khan,30.16444208948833,71.84115371440805,41.518488546349815,7.0,BOWL,PACE,LSG
Mujeeb-ur-Rahman,17.721999999999998,58.57433333333333,32.66274074074074,7.0,BOWL,SPIN,MI
Mukesh Choudhary,19.75693641618497,55.53946692357097,35.82050952686791,6.5,BOWL,PACE,CHE
Mukesh Kumar,17.663005780346822,70.81729822307858,48.663262684649965,7.0,BOWL,PACE,DC
Musheer Khan,55.434876543209874,56.21592592592593,53.230395061728395,6.0,ALL,-,PBKS
Naman Dhir,75.05194819096553,44.956411903232706,64.59828730464568,6.5,ALL,SPIN,MI
Nathan Ellis,17.22514450867052,60.66971740526654,31.962128023977733,7.0,BOWL,PACE,CHE
Nehal Wadhera,78.09343823592378,33.71098265895954,38.681781203168484,7.5,BAT,-,PBKS
Nicholas Pooran,97.2583065724684,35.55780346820809,77.03866409762364,8.5,WK,-,LSG
Nishant Sindhu,55.434876543209874,56.21592592592593,53.230395061728395,6.0,ALL,-,GT
Nitish Rana,78.33002569043029,44.31691286662385,39.288717619353456,7.5,ALL,-,RR
Noor Ahmad,16.60520231213873,87.99165061014772,36.29738813958467,7.5,BOWL,SPIN,CHE
Nuwan Thushara,20.06328602012417,65.13450631556412,39.65432669663883,7.5,BOWL,PACE,RCB
Pat Cummins,63.77007064868336,65.60748233782915,64.05354313851423,8.5,BOWL,PACE,SRH
Philip Salt,83.46086491115392,35.55780346820809,67.43172768143866,8.5,WK,-,RCB
Prabhsimran Singh,74.20829586812246,35.55780346820809,61.647377435238695,7.5,WK,-,PBKS
Prasidh Krishna,12.876878612716762,77.3906015842432,40.773089274245336,7.5,BOWL,PACE,GT
Pravin Dubey,27.767043245557694,66.15329244273175,37.70345964461571,6.0,BOWL,-,PBKS
Prince Yadav,24.908407407407406,68.55296296296297,39.574592592592595,5.5,BOWL,PACE,LSG
Priyansh Arya,69.69861111111109,34.63165740740741,53.139351851851856,6.5,BAT,-,PBKS
Pyla Avinash,66.69861111111109,34.63165740740741,53.139351851851856,5.5,BAT,-,PBKS
Quinton de Kock,73.07283236994219,35.55780346820809,64.34365232284307,8.0,WK,-,KKR
Rachin Ravindra,77.13219867266109,34.41329479768786,57.569492614001284,8.0,BAT,SPIN,CHE
Rahmanullah Gurbaz,74.2605694712053,35.639038036109326,70.77664311710555,7.5,WK,-,KKR
Rahul Chahar,32.631205095268676,72.1229456219225,48.931783344037676,6.5,BOWL,SPIN,SRH
Rahul Tewatia,68.93160993363306,28.92485549132948,66.87146221365875,7.0,ALL,SPIN,GT
Rahul Tripathi,53.97581888246627,35.55780346820809,37.337850567330335,7.5,BAT,-,CHE
Raj Angad Bawa,28.15,33.873,49.77222222222221,5.5,BAT,-,MI
Rajat Patidar,89.0169235709698,35.55780346820809,50.18060372511239,8.0,BAT,-,RCB
Rajvardhan Hangargekar,20.06328602012417,64.1200554485121,37.70345964461571,5.5,BOWL,PACE,LSG
Ramakrishna Ghosh,55.434876543209874,56.21592592592593,53.230395061728395,5.5,ALL,-,CHE
Ramandeep Singh,56.90941982444872,28.27456647398844,50.960950545921634,7.5,ALL,PACE,KKR
Rashid-Khan,65.19131877542281,72.65721472918005,67.13157782059515,9.0,BOWL,SPIN,GT
Rasikh Salam,17.845086705202313,51.39238921001927,42.72395632626846,6.5,BOWL,PACE,RCB
Ravi Bishnoi,19.583526011560693,68.29335260115607,66.30787839862984,8.0,BOWL,SPIN,LSG
Ravichandran Ashwin,44.67283236994219,72.97411689145794,64.38837508028259,8.0,ALL,SPIN,CHE
Ravindra Jadeja,67.7321023335474,74.37717833440377,67.82521943909227,8.5,ALL,SPIN,CHE
Ravisrinivasan Sai Kishore,36.84450867052023,87.63873902804538,60.58533504602868,7.0,BOWL,SPIN,GT
Reece Topley,23.128314921858273,62.706760650824236,39.65432669663883,6.5,BOWL,PACE,MI
Rinku Singh,81.91030828516377,35.55780346820809,61.557931920359664,7.5,BAT,-,KKR
Rishabh Pant,45.33193106401199,35.55780346820809,84.58387925497752,9.0,WK,-,LSG
Riyan Parag,82.50768572040248,42.29176835795333,67.69516163562406,8.0,ALL,SPIN,RR
Robin Minz,72.81259259259258,35.64023456790123,68.5262962962963,5.5,WK,-,MI
Rohit Sharma,62.225711839006635,28.92485549132948,42.01993149218582,9.0,BAT,-,MI
Romario Shepherd,54.056263826446866,51.09459644615714,45.029262113751514,7.0,ALL,PACE,RCB
Rovman Powell,68.83155908798972,36.51154758081781,54.02461196745879,7.0,BAT,-,KKR
Ruturaj Gaikwad,79.07505887390279,35.55780346820809,67.69516163562406,9.0,BAT,-,CHE
Ryan Rickelton,72.81259259259258,35.64023456790123,68.5262962962963,7.5,WK,-,MI
Sachin Baby,66.69861111111109,34.63165740740741,53.139351851851856,6.5,BAT,-,SRH
Sai Sudharsan,88.43308713337613,35.55780346820809,65.12023121387283,8.0,BAT,-,GT
Sam Curran,43.730346820809245,39.70920573752944,49.356904303147076,7.5,ALL,PACE,CHE
Sameer Rizvi,47.552676086491104,35.55780346820809,31.745365018197383,6.5,BAT,-,DC
Sandeep Sharma,26.689028045386422,76.19438021836866,49.617019910083485,7.5,BOWL,PACE,RR
Sanju Samson,86.32821665596231,35.55780346820809,87.02656818668379,9.0,WK,-,RR
Satyanarayana Raju,55.434876543209874,56.21592592592593,53.230395061728395,5.5,ALL,PACE,MI
Shahbaz Ahmed,44.36744808392207,35.12789552558339,39.20201241704132,7.0,ALL,SPIN,LSG
Shahrukh Khan,31.43095696852922,54.38755084564333,57.030421751230996,7.5,ALL,-,GT
Shaik Rasheed,66.69861111111109,34.63165740740741,53.139351851851856,5.0,BAT,-,CHE
Shamar Joseph,20.06328602012417,58.69664504388783,37.70345964461571,6.5,BOWL,PACE,LSG
Shardul Thakur,15.0,20.7,19.2,7.5,BOWL,-,LSG
Shashank Singh,71.09307428816098,36.8106936416185,57.00590879897238,7.5,BAT,-,PBKS
Sherfane Rutherford,79.84629629629629,33.873,39.79074074074074,7.0,BAT,-,GT
Shimron Hetmyer,81.80694712053092,35.55780346820809,72.05664739884392,7.5,BAT,-,RR
Shivam Dube,75.88086062941554,27.914739884393065,60.604174694926144,8.0,BAT,-,CHE
Shreyas Gopal,20.06328602012417,64.44519995718262,39.65432669663883,6.5,BOWL,SPIN,CHE
Shreyas Iyer,88.75618711196745,34.46531791907515,49.79043031470776,8.5,BAT,-,PBKS
Shubham Dubey,67.34697067009205,35.55780346820809,30.79160779276386,5.5,BAT,-,RR
Shubman Gill,83.47070220509525,35.55780346820809,59.997238278741165,9.0,BAT,-,GT
