credits,player_type,player_name,team,isplaying,lineuporder,mat_bat,inns_bat,no,runs_bat,bf,100,50,0,4s,6s,hs,ave_bat,sr_bat,mat_bowl,inns_bowl,overs,mdns,runs_bowl,wkts,4,5,best_wickets,bbi,ave_bowl,econ,sr_bowl,mat,inns,dis,ct,st,ct_wk,ct_fi,md,d/i,sr
5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,WK,Abishek Porel,DC,PLAYING,3,18.0,16.0,2.0,360.0,236.0,0.0,2.0,1.0,37.0,15.0,65.0,25.714285714285715,152.54237288135593,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,18.0,18.0,6.0,6.0,0.0,6.0,0.0,0.0,0.3333333333333333,152.54237288135593
8.0,BAT,Mitchell Marsh,LSG,PLAYING,4,15.0,15.0,2.0,351.0,267.0,0.0,2.0,0.0,28.0,10.0,63.0,27.0,131.46067415730337,15.0,4.0,8.0,0.0,97.0,1.0,0.0,0.0,1.0,1/18,97.0,72.75,48.0,15.0,15.0,11.0,11.0,0.0,0.0,11.0,0.0,0.7333333333333333,131.46067415730337
8.0,BAT,David Miller,LSG,PLAYING,2,50.0,46.0,20.0,1074.0,767.0,0.0,4.0,2.0,81.0,47.0,94.0,41.30769230769231,140.02607561929597,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,50.0,50.0,26.0,26.0,0.0,0.0,26.0,0.0,0.52,140.02607561929597
8.5,BAT,Faf du Plessis,DC,PLAYING,1,61.0,61.0,4.0,2269.0,1571.0,0.0,21.0,4.0,216.0,93.0,96.0,39.80701754385965,144.43029917250158,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,61.0,61.0,27.0,27.0,0.0,0.0,27.0,0.0,0.4426229508196721,144.43029917250158
7.0,BAT,Karun Nair,DC,X_FACTOR_SUBSTITUTE,12,3.0,2.0,0.0,16.0,18.0,0.0,0.0,0.0,1.0,0.0,13.0,8.0,88.88888888888889,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,88.88888888888889
5.5,BAT,Himmat Singh,LSG,X_FACTOR_SUBSTITUTE,14,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,66.66666666666666
6.5,BAT,Matthew Breetzke,LSG,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,BAT,Ayush Badoni,LSG,PLAYING,3,42.0,35.0,9.0,634.0,473.0,0.0,4.0,2.0,46.0,24.0,59.0,24.384615384615383,134.03805496828753,42.0,5.0,4.1,0.0,36.0,2.0,0.0,0.0,1.0,1/5,18.0,52.6829268292683,12.299999999999999,42.0,41.0,14.0,14.0,0.0,0.0,14.0,0.0,0.34146341463414637,134.03805496828753
7.5,BAT,Jake Fraser-McGurk,DC,PLAYING,2,9.0,9.0,0.0,330.0,141.0,0.0,4.0,1.0,32.0,28.0,84.0,36.666666666666664,234.04255319148936,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,9.0,9.0,3.0,3.0,0.0,0.0,3.0,0.0,0.3333333333333333,234.04255319148936
