Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MI,KH Pandya,2021-2021,13,12,2,143,39,14.3,123,116.26,0,0,0,10,6
MI,Naman Dhir,2024-2024,7,7,1,140,62,23.33,79,177.21,0,1,2,12,10
MI,SS Tiwary,2021-2021,5,4,2,115,50,57.5,97,118.55,0,1,0,10,2
MI,HR Shokeen,2022-2023,13,6,3,66,25,22.0,65,101.53,0,0,0,9,0
MI,JD Unadkat,2022-2022,5,5,2,59,19,19.66,37,159.45,0,0,0,4,3
MI,R Shepherd,2024-2024,6,5,3,57,39,28.5,21,271.42,0,0,0,5,5
MI,CA Lynn,2021-2021,1,1,0,49,49,49.0,35,140.0,0,0,0,4,3
MI,Ramandeep Singh,2022-2022,5,4,2,45,14,22.5,40,112.5,0,0,0,3,1
MI,PP Chawla,2021-2024,28,11,4,40,18,5.71,39,102.56,0,0,4,2,2
MI,DR Sams,2022-2022,11,10,3,38,15,5.42,36,105.55,0,0,2,1,3
MI,Vishnu Vinod,2023-2023,3,3,0,37,30,12.33,31,119.35,0,0,0,2,2
MI,Mohammad Nabi,2024-2024,7,5,1,35,23,8.75,31,112.9,0,0,1,2,2
MI,J Yadav,2021-2021,5,3,1,34,23,17.0,26,130.76,0,0,0,2,1
MI,Anmolpreet Singh,2021-2022,3,3,0,29,16,9.66,27,107.4,0,0,0,3,1
MI,JJ Bumrah,2021-2024,41,17,13,28,8,7.0,37,75.67,0,0,3,3,0
MI,T Stubbs,2022-2023,4,4,0,27,20,6.75,35,77.14,0,0,1,2,0
MI,Arshad Khan,2023-2023,6,3,1,18,15,9.0,15,120.0,0,0,0,0,1
MI,AF Milne,2021-2021,4,3,1,16,15,8.0,17,94.11,0,0,1,0,1
MI,RD Chahar,2021-2021,11,5,0,14,8,2.8,15,93.33,0,0,3,1,0
MI,G Coetzee,2024-2024,10,5,1,14,8,3.5,22,63.63,0,0,1,0,1
MI,AS Tendulkar,2023-2024,5,1,0,13,13,13.0,9,144.44,0,0,0,0,1
MI,M Ashwin,2022-2022,8,5,2,12,6,4.0,14,85.71,0,0,1,1,1
MI,K Kartikeya,2022-2023,12,2,0,9,6,4.5,12,75.0,0,0,0,1,0
MI,L Wood,2024-2024,2,1,1,9,9,,3,300.0,0,0,0,0,1
MI,FA Allen,2022-2022,1,1,0,8,8,8.0,7,114.28,0,0,0,1,0
MI,JP Behrendorff,2023-2023,12,2,2,6,3,,9,66.66,0,0,0,0,0
MI,CJ Jordan,2023-2023,6,2,0,6,4,3.0,12,50.0,0,0,0,0,0
MI,JC Archer,2023-2023,5,2,2,4,3,,4,100.0,0,0,0,0,0
MI,NM Coulter-Nile,2021-2021,5,2,0,4,3,2.0,5,80.0,0,0,0,0,0
MI,A Madhwal,2023-2024,13,1,1,4,4,,5,80.0,0,0,0,0,0
MI,A Kamboj,2024-2024,3,1,1,2,2,,2,100.0,0,0,0,0,0
MI,TA Boult,2021-2021,14,4,4,1,1,,4,25.0,0,0,0,0,0
MI,SZ Mulani,2024-2024,2,1,1,1,1,,1,100.0,0,0,0,0,0
MI,M Jansen,2021-2021,2,2,0,0,0,0.0,3,0.0,0,0,2,0,0
MI,DS Kulkarni,2021-2021,1,1,1,0,0,,0,,0,0,0,0,0
MI,RP Meredith,2022-2023,13,2,2,0,0,,3,0.0,0,0,0,0,0
MI,TS Mills,2022-2022,5,2,1,0,0,0.0,3,0.0,0,0,1,0,0
MI,JDS Neesham,2021-2021,3,2,0,0,0,0.0,2,0.0,0,0,2,0,0
MI,R Sanjay Yadav,2022-2022,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0
MI,Basil Thampi,2022-2022,5,,,,,,,,,,,,
MI,S Gopal,2024-2024,3,,,,,,,,,,,,
MI,R Goyal,2023-2023,1,,,,,,,,,,,,
MI,D Jansen,2023-2023,1,,,,,,,,,,,,
MI,KT Maphaka,2024-2024,2,,,,,,,,,,,,
MI,M Markande,2022-2022,2,,,,,,,,,,,,
MI,N Thushara,2024-2024,7,,,,,,,,,,,,
RCB,V Kohli,2021-2024,60,60,7,2126,113,40.11,1569,135.5,3,16,4,202,71
RCB,F du Plessis,2022-2024,45,45,2,1636,96,38.04,1113,146.99,0,15,2,156,70
RCB,GJ Maxwell,2021-2024,52,50,6,1266,78,28.77,795,159.24,0,12,8,114,69
RCB,RM Patidar,2021-2024,27,24,1,799,112,34.73,503,158.84,1,7,1,51,54
RCB,KD Karthik,2022-2024,44,42,15,796,83,29.48,458,173.79,0,3,6,67,49
RCB,D Padikkal,2021-2021,14,14,1,411,101,31.61,328,125.3,1,1,2,44,14
RCB,MK Lomror,2022-2024,29,25,4,346,54,16.47,222,155.85,0,1,3,25,21
RCB,Shahbaz Ahmed,2021-2023,37,24,5,320,45,16.84,273,117.21,0,0,0,21,12
RCB,Anuj Rawat,2022-2024,22,20,5,318,66,21.2,266,119.54,0,1,3,26,14
RCB,AB de Villiers,2021-2021,15,14,4,313,76,31.3,211,148.34,0,2,1,23,16
RCB,C Green,2024-2024,13,12,4,255,46,31.87,178,143.25,0,0,0,22,10
RCB,WG Jacks,2024-2024,8,8,1,230,100,32.85,131,175.57,1,1,0,16,18
RCB,KS Bharat,2021-2021,8,7,2,191,78,38.2,156,122.43,0,1,0,10,8
RCB,SS Prabhudessai,2022-2024,11,10,0,126,34,12.6,106,118.86,0,0,1,11,4
RCB,HV Patel,2021-2023,44,18,7,108,31,9.81,91,118.68,0,0,3,10,5
RCB,PW Hasaranga,2021-2023,26,14,4,72,18,7.2,73,98.63,0,0,3,7,1
RCB,KA Jamieson,2021-2021,9,7,3,65,16,16.25,55,118.18,0,0,0,5,3
RCB,Mohammed Siraj,2021-2024,58,14,8,63,14,10.5,69,91.3,0,0,2,6,3
RCB,MG Bracewell,2023-2023,5,4,2,58,26,29.0,47,123.4,0,0,0,6,1
RCB,DJ Willey,2022-2023,8,5,3,53,20,26.5,62,85.48,0,0,1,7,0
RCB,Swapnil Singh,2024-2024,7,5,3,37,15,18.5,21,176.19,0,0,1,3,3
RCB,KV Sharma,2023-2024,16,5,0,34,20,6.8,20,170.0,0,0,0,2,3
RCB,SE Rutherford,2022-2022,3,2,0,33,28,16.5,50,66.0,0,0,0,1,1
RCB,Washington Sundar,2021-2021,6,4,0,31,10,7.75,47,65.95,0,0,0,2,0
RCB,Akash Deep,2022-2024,8,3,1,19,17,9.5,12,158.33,0,0,1,2,1
RCB,JR Hazlewood,2022-2023,15,6,6,19,7,,28,67.85,0,0,0,1,0
RCB,SD Chauhan,2024-2024,3,3,0,18,9,6.0,15,120.0,0,0,1,1,1
RCB,DT Christian,2021-2021,9,7,1,14,9,2.33,24,58.33,0,0,1,1,0
RCB,V Vyshak,2023-2024,11,4,2,14,13,7.0,12,116.66,0,0,2,0,1
RCB,KM Jadhav,2023-2023,2,1,1,12,12,,10,120.0,0,0,0,1,0
RCB,YS Chahal,2021-2021,15,2,2,10,8,,27,37.03,0,0,0,0,0
RCB,Sachin Baby,2021-2021,1,1,0,7,7,7.0,17,41.17,0,0,0,0,0
RCB,DR Sams,2021-2021,2,2,1,6,3,6.0,6,100.0,0,0,0,0,0
RCB,RJW Topley,2023-2024,5,1,1,3,3,,6,50.0,0,0,0,0,0
RCB,GHS Garton,2021-2021,5,3,2,2,2,2.0,4,50.0,0,0,1,0,0
RCB,WD Parnell,2023-2023,7,1,0,2,2,2.0,5,40.0,0,0,0,0,0
RCB,NA Saini,2021-2021,2,1,0,2,2,2.0,4,50.0,0,0,0,0,0
RCB,TH David,2021-2021,1,1,0,1,1,1.0,3,33.33,0,0,0,0,0
RCB,LH Ferguson,2024-2024,7,1,0,1,1,1.0,1,100.0,0,0,0,0,0
RCB,MJ Dagar,2024-2024,5,1,0,0,0,0.0,1,0.0,0,0,1,0,0
RCB,AS Joseph,2024-2024,3,,,,,,,,,,,,
RCB,S Kaul,2022-2022,1,,,,,,,,,,,,
RCB,KW Richardson,2021-2021,1,,,,,,,,,,,,
RCB,H Sharma,2023-2024,2,,,,,,,,,,,,
RCB,Yash Dayal,2024-2024,14,,,,,,,,,,,,
SRH,Abhishek Sharma,2021-2024,49,48,2,1234,75,26.82,789,156.4,0,7,2,118,65
SRH,H Klaasen,2023-2024,28,26,5,927,104,44.14,533,173.92,1,6,0,51,63
SRH,RA Tripathi,2022-2024,33,33,4,851,76,29.34,589,144.48,0,5,3,87,36
SRH,AK Markram,2022-2024,38,36,8,849,68,30.32,648,131.01,0,5,2,61,31
SRH,TM Head,2024-2024,15,15,1,567,102,40.5,296,191.55,1,4,3,64,32
SRH,KS Williamson,2021-2022,23,23,6,482,66,28.35,466,103.43,0,3,1,45,10
SRH,Abdul Samad,2021-2024,38,32,7,466,37,18.64,330,141.21,0,0,3,29,30
SRH,MA Agarwal,2023-2024,14,14,0,334,83,23.85,267,125.09,0,1,0,37,7
SRH,N Pooran,2022-2022,14,13,5,306,64,38.25,212,144.33,0,2,1,16,21
SRH,K Nitish Kumar Reddy,2023-2024,15,11,2,303,76,33.66,212,142.92,0,2,0,15,21
SRH,MK Pandey,2021-2021,8,8,2,292,69,48.66,236,123.72,0,3,0,21,10
SRH,JM Bairstow,2021-2021,7,7,1,248,63,41.33,175,141.71,0,2,0,20,15
SRH,Shahbaz Ahmed,2024-2024,16,12,3,215,59,23.88,166,129.51,0,1,1,7,13
SRH,DA Warner,2021-2021,8,8,0,195,57,24.37,181,107.73,0,2,1,15,6
SRH,HC Brook,2023-2023,11,11,2,190,100,21.11,154,123.37,1,0,3,23,4
SRH,Washington Sundar,2022-2024,18,14,2,161,40,13.41,130,123.84,0,0,1,15,3
SRH,JJ Roy,2021-2021,5,5,0,150,60,30.0,121,123.96,0,1,0,21,1
SRH,PJ Cummins,2024-2024,16,10,4,136,35,22.66,95,143.15,0,0,0,9,8
SRH,WP Saha,2021-2021,9,9,0,131,44,14.55,140,93.57,0,0,1,7,5
SRH,B Kumar,2021-2024,55,24,14,123,27,12.3,132,93.18,0,0,1,13,0
SRH,PK Garg,2021-2022,7,7,0,118,42,16.85,107,110.28,0,0,1,6,5
SRH,Anmolpreet Singh,2023-2024,6,6,0,110,36,18.33,88,125.0,0,0,1,16,2
SRH,JO Holder,2021-2021,8,7,1,85,47,14.16,72,118.05,0,0,0,2,6
SRH,Rashid Khan,2021-2021,14,10,2,83,22,10.37,69,120.28,0,0,3,9,2
SRH,Shashank Singh,2022-2022,10,5,1,69,25,17.25,47,146.8,0,0,0,5,4
SRH,Vivrant Sharma,2023-2023,3,1,0,69,69,69.0,47,146.8,0,1,0,9,2
SRH,M Jansen,2022-2024,19,11,6,66,17,13.2,63,104.76,0,0,0,5,2
SRH,V Shankar,2021-2021,7,5,0,58,28,11.6,52,111.53,0,0,0,1,3
SRH,R Shepherd,2022-2022,3,3,1,58,26,29.0,41,141.46,0,0,0,2,5
SRH,KM Jadhav,2021-2021,6,5,1,55,19,13.75,52,105.76,0,0,0,2,2
SRH,GD Phillips,2023-2023,5,5,0,39,25,7.8,22,177.27,0,0,1,2,4
SRH,Mohammad Nabi,2021-2021,3,3,0,34,17,11.33,20,170.0,0,0,0,3,2
SRH,Sanvir Singh,2023-2024,6,5,3,25,8,12.5,21,119.04,0,0,1,2,1
SRH,JD Unadkat,2024-2024,11,5,2,24,8,8.0,26,92.3,0,0,0,2,1
SRH,Umran Malik,2021-2024,26,6,4,23,19,11.5,16,143.75,0,0,2,1,2
SRH,AU Rashid,2023-2023,2,2,0,22,18,11.0,16,137.5,0,0,0,2,1
SRH,M Markande,2023-2024,17,3,3,21,18,,13,161.53,0,0,0,2,1
SRH,AJ Hosein,2023-2023,1,1,1,16,16,,10,160.0,0,0,0,1,1
