Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
CSK,SM Curran,2021-2021,9,9,33.0,0,328,9,3/34,36.44,9.93,22.0,0,0
CSK,MJ Santner,2022-2024,12,12,40.0,0,275,9,2/28,30.55,6.87,26.6,0,0
CSK,Simarjeet Singh,2022-2024,10,10,30.0,0,259,9,3/26,28.77,8.63,20.0,0,0
CSK,D Pretorius,2022-2023,7,7,25.0,0,238,6,2/30,39.66,9.52,25.0,0,0
CSK,Akash Singh,2023-2023,6,6,19.0,0,188,5,2/40,37.6,9.89,22.8,0,0
CSK,L Ngidi,2021-2021,3,3,12.0,0,125,5,3/28,25.0,10.41,14.4,0,0
CSK,RS Hangargekar,2023-2023,2,2,6.0,0,60,3,3/36,20.0,10.0,12.0,0,0
CSK,Imran Tahir,2021-2021,1,1,4.0,0,16,2,2/16,8.0,4.0,12.0,0,0
CSK,CJ Jordan,2022-2022,4,4,12.5,0,135,2,2/23,67.5,10.51,38.5,0,0
CSK,PH Solanki,2022-2022,2,2,6.0,0,38,2,2/20,19.0,6.33,18.0,0,0
CSK,KM Asif,2021-2021,1,1,2.1,0,18,1,1/18,18.0,8.3,13.0,0,0
CSK,S Dube,2022-2024,41,3,3.0,0,50,1,1/14,50.0,16.66,18.0,0,0
CSK,RJ Gleeson,2024-2024,2,2,7.5,0,71,1,1/30,71.0,9.06,47.0,0,0
CSK,SSB Magala,2023-2023,2,2,6.0,0,51,1,1/37,51.0,8.5,36.0,0,0
CSK,DJ Mitchell,2024-2024,13,2,6.0,0,70,1,1/18,70.0,11.66,36.0,0,0
CSK,AF Milne,2022-2022,1,1,2.3,0,19,0,,,7.6,,0,0
CSK,R Ravindra,2024-2024,10,2,2.0,0,7,0,,,3.5,,0,0
CSK,BA Stokes,2023-2023,2,1,1.0,0,18,0,,,18.0,,0,0
CSK,DP Conway,2022-2023,23,,,,,,,,,,,
CSK,MS Dhoni,2021-2024,60,,,,,,,,,,,
CSK,F du Plessis,2021-2021,16,,,,,,,,,,,
CSK,RD Gaikwad,2021-2024,60,,,,,,,,,,,
CSK,N Jagadeesan,2022-2022,2,,,,,,,,,,,
CSK,AM Rahane,2023-2024,27,,,,,,,,,,,
CSK,SK Raina,2021-2021,12,,,,,,,,,,,
CSK,AT Rayudu,2021-2023,45,,,,,,,,,,,
CSK,Sameer Rizvi,2024-2024,8,,,,,,,,,,,
CSK,RV Uthappa,2021-2022,16,,,,,,,,,,,
MI,JJ Bumrah,2021-2024,41,41,160.1,2,1129,56,5/10,20.16,7.04,17.1,0,2
MI,PP Chawla,2021-2024,28,28,100.0,0,845,36,3/22,23.47,8.45,16.6,0,0
MI,A Madhwal,2023-2024,13,13,43.4,0,424,19,5/5,22.31,9.7,13.7,1,1
MI,RP Meredith,2022-2023,13,13,47.4,0,443,15,2/24,29.53,9.29,19.0,0,0
MI,JP Behrendorff,2023-2023,12,12,42.0,0,387,14,3/23,27.64,9.21,18.0,0,0
MI,TA Boult,2021-2021,14,14,51.2,1,406,13,3/28,31.23,7.9,23.6,0,0
MI,RD Chahar,2021-2021,11,11,43.0,0,318,13,4/27,24.46,7.39,19.8,1,0
MI,G Coetzee,2024-2024,10,10,33.3,0,341,13,4/34,26.23,10.17,15.4,1,0
MI,DR Sams,2022-2022,11,11,42.0,0,370,13,4/30,28.46,8.8,19.3,1,0
MI,HH Pandya,2021-2024,26,12,36.0,0,387,11,3/31,35.18,10.75,19.6,0,0
MI,K Kartikeya,2022-2023,12,12,39.0,0,329,10,2/22,32.9,8.43,23.4,0,0
MI,M Ashwin,2022-2022,8,8,29.0,0,228,9,2/14,25.33,7.86,19.3,0,0
MI,KA Pollard,2021-2022,25,15,27.1,0,220,9,2/8,24.44,8.09,18.1,0,0
MI,N Thushara,2024-2024,7,7,26.0,0,257,8,3/28,32.12,9.88,19.5,0,0
MI,NM Coulter-Nile,2021-2021,5,5,20.0,0,127,7,4/14,18.14,6.35,17.1,1,0
MI,C Green,2023-2023,16,16,38.0,0,361,6,2/41,60.16,9.5,38.0,0,0
MI,TS Mills,2022-2022,5,5,17.0,0,190,6,3/35,31.66,11.17,17.0,0,0
MI,Ramandeep Singh,2022-2022,5,3,6.0,0,54,6,3/20,9.0,9.0,6.0,0,0
MI,JD Unadkat,2022-2022,5,5,20.0,0,190,6,2/32,31.66,9.5,20.0,0,0
MI,Arshad Khan,2023-2023,6,6,14.1,0,190,5,3/39,38.0,13.41,17.0,0,0
MI,Basil Thampi,2022-2022,5,5,16.0,1,152,5,3/35,30.4,9.5,19.2,0,0
MI,JDS Neesham,2021-2021,3,3,9.0,0,66,5,3/12,13.2,7.33,10.8,0,0
MI,KH Pandya,2021-2021,13,12,33.1,0,265,5,1/13,53.0,7.98,39.8,0,0
MI,HR Shokeen,2022-2023,13,13,34.0,0,314,5,2/34,62.8,9.23,40.8,0,0
MI,S Gopal,2024-2024,3,3,7.0,0,67,3,1/9,22.33,9.57,14.0,0,0
MI,CJ Jordan,2023-2023,6,6,22.0,1,237,3,1/7,79.0,10.77,44.0,0,0
MI,AF Milne,2021-2021,4,4,14.0,0,131,3,2/21,43.66,9.35,28.0,0,0
MI,AS Tendulkar,2023-2024,5,5,12.1,0,114,3,1/9,38.0,9.36,24.3,0,0
MI,JC Archer,2023-2023,5,5,20.0,0,190,2,1/35,95.0,9.5,60.0,0,0
MI,M Jansen,2021-2021,2,2,6.0,0,45,2,2/28,22.5,7.5,18.0,0,0
MI,A Kamboj,2024-2024,3,3,10.0,0,114,2,1/24,57.0,11.4,30.0,0,0
MI,Mohammad Nabi,2024-2024,7,6,12.2,0,109,2,1/16,54.5,8.83,37.0,0,0
MI,J Yadav,2021-2021,5,5,17.0,0,130,2,1/25,65.0,7.64,51.0,0,0
MI,FA Allen,2022-2022,1,1,4.0,0,46,1,1/46,46.0,11.5,24.0,0,0
MI,D Brevis,2022-2024,10,1,0.3,0,8,1,1/8,8.0,16.0,3.0,0,0
MI,D Jansen,2023-2023,1,1,4.0,0,53,1,1/53,53.0,13.25,24.0,0,0
MI,KT Maphaka,2024-2024,2,2,6.0,0,89,1,1/23,89.0,14.83,36.0,0,0
MI,M Markande,2022-2022,2,2,7.0,0,57,1,1/26,57.0,8.14,42.0,0,0
MI,R Shepherd,2024-2024,6,5,12.0,0,159,1,1/54,159.0,13.25,72.0,0,0
MI,T Stubbs,2022-2023,4,1,2.0,0,14,1,1/14,14.0,7.0,12.0,0,0
MI,L Wood,2024-2024,2,2,6.0,0,93,1,1/68,93.0,15.5,36.0,0,0
MI,R Goyal,2023-2023,1,1,4.0,0,33,0,,,8.25,,0,0
MI,DS Kulkarni,2021-2021,1,1,4.0,0,48,0,,,12.0,,0,0
MI,SZ Mulani,2024-2024,2,2,5.0,0,57,0,,,11.4,,0,0
MI,Naman Dhir,2024-2024,7,3,4.4,0,55,0,,,11.78,,0,0
MI,R Sanjay Yadav,2022-2022,1,1,2.0,0,23,0,,,11.5,,0,0
MI,RG Sharma,2021-2024,57,2,1.1,0,13,0,,,11.14,,0,0
MI,NT Tilak Varma,2022-2024,38,4,3.4,0,28,0,,,7.63,,0,0
MI,N Wadhera,2023-2024,20,1,2.0,0,13,0,,,6.5,,0,0
MI,Anmolpreet Singh,2021-2022,3,,,,,,,,,,,
MI,TH David,2022-2024,37,,,,,,,,,,,
MI,Q de Kock,2021-2021,11,,,,,,,,,,,
MI,Ishan Kishan,2021-2024,54,,,,,,,,,,,
MI,CA Lynn,2021-2021,1,,,,,,,,,,,
MI,SS Tiwary,2021-2021,5,,,,,,,,,,,
MI,Vishnu Vinod,2023-2023,3,,,,,,,,,,,
MI,SA Yadav,2021-2024,49,,,,,,,,,,,
RCB,HV Patel,2021-2023,44,43,156.5,2,1323,65,5/27,20.35,8.43,14.4,2,1
RCB,Mohammed Siraj,2021-2024,58,58,207.0,1,1738,54,4/21,32.18,8.39,23.0,1,0
RCB,PW Hasaranga,2021-2023,26,26,92.0,1,748,35,5/18,21.37,8.13,15.7,1,1
RCB,JR Hazlewood,2022-2023,15,15,55.3,1,453,23,4/25,19.69,8.16,14.4,1,0
RCB,YS Chahal,2021-2021,15,15,53.0,1,374,18,3/11,20.77,7.05,17.6,0,0
RCB,GJ Maxwell,2021-2024,52,29,66.2,1,523,18,2/22,29.05,7.88,22.1,0,0
RCB,KV Sharma,2023-2024,16,16,45.3,0,477,17,2/19,28.05,10.48,16.0,0,0
RCB,Yash Dayal,2024-2024,14,14,50.1,0,459,15,3/20,30.6,9.14,20.0,0,0
RCB,V Vyshak,2023-2024,11,11,38.3,0,395,13,3/20,30.38,10.25,17.7,0,0
RCB,Shahbaz Ahmed,2021-2023,37,25,56.0,0,523,12,3/7,43.58,9.33,28.0,0,0
RCB,C Green,2024-2024,13,13,35.1,0,303,10,2/12,30.3,8.61,21.1,0,0
RCB,LH Ferguson,2024-2024,7,7,24.0,0,255,9,2/23,28.33,10.62,16.0,0,0
RCB,KA Jamieson,2021-2021,9,9,28.0,0,269,9,3/41,29.88,9.6,18.6,0,0
RCB,WD Parnell,2023-2023,7,7,25.1,0,236,9,3/10,26.22,9.37,16.7,0,0
RCB,Akash Deep,2022-2024,8,8,27.2,1,319,7,3/45,45.57,11.67,23.4,0,0
RCB,MG Bracewell,2023-2023,5,5,11.0,0,95,6,2/13,15.83,8.63,11.0,0,0
RCB,Swapnil Singh,2024-2024,7,7,15.0,0,133,6,2/28,22.16,8.86,15.0,0,0
RCB,RJW Topley,2023-2024,5,5,17.0,0,182,5,2/27,36.4,10.7,20.4,0,0
RCB,DT Christian,2021-2021,9,9,16.4,0,155,4,2/14,38.75,9.3,25.0,0,0
RCB,DJ Willey,2022-2023,8,8,26.0,1,177,4,2/16,44.25,6.8,39.0,0,0
RCB,GHS Garton,2021-2021,5,5,15.0,0,135,3,1/27,45.0,9.0,30.0,0,0
RCB,Washington Sundar,2021-2021,6,6,16.0,0,118,3,1/7,39.33,7.37,32.0,0,0
RCB,WG Jacks,2024-2024,8,5,9.0,0,100,2,1/23,50.0,11.11,27.0,0,0
RCB,MJ Dagar,2024-2024,5,5,11.5,0,120,1,1/23,120.0,10.14,71.0,0,0
RCB,AS Joseph,2024-2024,3,3,9.4,0,115,1,1/43,115.0,11.89,58.0,0,0
RCB,KW Richardson,2021-2021,1,1,3.0,0,29,1,1/29,29.0,9.66,18.0,0,0
RCB,DR Sams,2021-2021,2,2,6.0,0,39,1,1/24,39.0,6.5,36.0,0,0
RCB,S Kaul,2022-2022,1,1,4.0,0,43,0,,,10.75,,0,0
RCB,MK Lomror,2022-2024,29,5,5.0,0,53,0,,,10.6,,0,0
RCB,NA Saini,2021-2021,2,2,4.0,0,52,0,,,13.0,,0,0
RCB,H Sharma,2023-2024,2,2,5.0,0,57,0,,,11.4,,0,0
RCB,Anuj Rawat,2022-2024,22,,,,,,,,,,,
RCB,KS Bharat,2021-2021,8,,,,,,,,,,,
RCB,SD Chauhan,2024-2024,3,,,,,,,,,,,
RCB,TH David,2021-2021,1,,,,,,,,,,,
RCB,AB de Villiers,2021-2021,15,,,,,,,,,,,
RCB,F du Plessis,2022-2024,45,,,,,,,,,,,
RCB,KM Jadhav,2023-2023,2,,,,,,,,,,,
RCB,KD Karthik,2022-2024,44,,,,,,,,,,,
RCB,V Kohli,2021-2024,60,,,,,,,,,,,
RCB,D Padikkal,2021-2021,14,,,,,,,,,,,
RCB,RM Patidar,2021-2024,27,,,,,,,,,,,
RCB,SS Prabhudessai,2022-2024,11,,,,,,,,,,,
RCB,SE Rutherford,2022-2022,3,,,,,,,,,,,
RCB,Sachin Baby,2021-2021,1,,,,,,,,,,,
SRH,T Natarajan,2021-2024,39,39,147.2,1,1350,49,4/19,27.55,9.16,18.0,1,0
SRH,B Kumar,2021-2024,55,55,202.1,6,1676,45,5/30,37.24,8.29,26.9,0,1
SRH,Umran Malik,2021-2024,26,26,82.1,1,772,29,5/25,26.62,9.39,17.0,1,1
SRH,M Markande,2023-2024,17,17,60.0,0,559,20,4/15,27.95,9.31,18.0,1,0
SRH,PJ Cummins,2024-2024,16,16,61.0,1,566,18,3/43,31.44,9.27,20.3,0,0
SRH,M Jansen,2022-2024,19,19,69.0,1,670,18,3/25,37.22,9.71,23.0,0,0
SRH,Rashid Khan,2021-2021,14,14,56.0,0,375,18,3/36,20.83,6.69,18.6,0,0
SRH,JO Holder,2021-2021,8,8,31.5,0,247,16,4/52,15.43,7.75,11.9,1,0
SRH,Washington Sundar,2022-2024,18,17,50.4,0,458,10,3/28,45.8,9.03,30.4,0,0
SRH,Abhishek Sharma,2021-2024,49,18,33.0,0,277,8,2/4,34.62,8.39,24.7,0,0
SRH,JD Unadkat,2024-2024,11,11,31.1,0,319,8,3/30,39.87,10.23,23.3,0,0
SRH,S Kaul,2021-2021,8,8,30.0,1,247,7,2/31,35.28,8.23,25.7,0,0
SRH,Shahbaz Ahmed,2024-2024,16,15,27.3,0,270,7,3/23,38.57,9.81,23.5,0,0
SRH,J Suchith,2021-2022,7,7,25.0,0,206,7,2/12,29.42,8.24,21.4,0,0
SRH,Fazalhaq Farooqi,2022-2023,7,7,25.2,0,227,6,2/32,37.83,8.96,25.3,0,0
SRH,KK Ahmed,2021-2021,7,7,27.0,0,219,5,3/21,43.8,8.11,32.4,0,0
SRH,K Nitish Kumar Reddy,2023-2024,15,9,18.1,0,207,3,2/17,69.0,11.39,36.3,0,0
SRH,Sandeep Sharma,2021-2021,7,7,23.3,0,203,3,1/20,67.66,8.63,47.0,0,0
SRH,V Shankar,2021-2021,7,5,11.0,0,100,3,2/19,33.33,9.09,22.0,0,0
SRH,R Shepherd,2022-2022,3,3,9.0,0,98,3,2/42,32.66,10.88,18.0,0,0
SRH,Kartik Tyagi,2022-2023,5,5,14.1,0,171,2,1/30,85.5,12.07,42.5,0,0
SRH,AK Markram,2022-2024,38,12,16.1,0,149,2,1/8,74.5,9.21,48.5,0,0
SRH,Mohammad Nabi,2021-2021,3,3,8.0,0,86,2,2/32,43.0,10.75,24.0,0,0
SRH,Mujeeb Ur Rahman,2021-2021,1,1,4.0,0,29,2,2/29,14.5,7.25,12.0,0,0
SRH,AU Rashid,2023-2023,2,2,7.0,0,56,2,2/23,28.0,8.0,21.0,0,0
SRH,SA Abbott,2022-2022,1,1,4.0,0,47,1,1/47,47.0,11.75,24.0,0,0
SRH,Abdul Samad,2021-2024,38,2,2.0,0,17,1,1/9,17.0,8.5,12.0,0,0
SRH,MJ Dagar,2023-2023,3,3,11.0,0,83,1,1/37,83.0,7.54,66.0,0,0
SRH,S Gopal,2022-2022,1,1,3.0,0,34,1,1/34,34.0,11.33,18.0,0,0
SRH,AJ Hosein,2023-2023,1,1,4.0,0,40,1,1/40,40.0,10.0,24.0,0,0
SRH,S Nadeem,2021-2021,1,1,4.0,0,36,1,1/36,36.0,9.0,24.0,0,0
SRH,GD Phillips,2023-2023,5,2,3.0,0,20,1,1/10,20.0,6.66,18.0,0,0
SRH,V Viyaskanth,2024-2024,3,3,10.0,0,86,1,1/37,86.0,8.6,60.0,0,0
SRH,TM Head,2024-2024,15,1,1.4,0,32,0,,,19.2,,0,0
SRH,Shashank Singh,2022-2022,10,2,2.0,0,20,0,,,10.0,,0,0
SRH,Vivrant Sharma,2023-2023,3,2,3.0,0,37,0,,,12.33,,0,0
SRH,MA Agarwal,2023-2024,14,,,,,,,,,,,
SRH,Anmolpreet Singh,2023-2024,6,,,,,,,,,,,
SRH,JM Bairstow,2021-2021,7,,,,,,,,,,,
SRH,HC Brook,2023-2023,11,,,,,,,,,,,
SRH,PK Garg,2021-2022,7,,,,,,,,,,,
SRH,KM Jadhav,2021-2021,6,,,,,,,,,,,
SRH,H Klaasen,2023-2024,28,,,,,,,,,,,
SRH,MK Pandey,2021-2021,8,,,,,,,,,,,
SRH,N Pooran,2022-2022,14,,,,,,,,,,,
SRH,JJ Roy,2021-2021,5,,,,,,,,,,,
SRH,WP Saha,2021-2021,9,,,,,,,,,,,
SRH,Sanvir Singh,2023-2024,6,,,,,,,,,,,
SRH,RA Tripathi,2022-2024,33,,,,,,,,,,,
SRH,Virat Singh,2021-2021,3,,,,,,,,,,,
SRH,DA Warner,2021-2021,8,,,,,,,,,,,
SRH,KS Williamson,2021-2022,23,,,,,,,,,,,
RR,YS Chahal,2022-2024,46,46,178.5,0,1505,66,5/40,22.8,8.41,16.2,4,1
RR,TA Boult,2022-2024,42,41,153.2,6,1247,45,3/22,27.71,8.13,20.4,0,0
RR,R Ashwin,2022-2024,45,44,171.0,0,1338,35,3/17,38.22,7.82,29.3,0,0
RR,Sandeep Sharma,2023-2024,23,22,84.0,0,707,23,5/18,30.73,8.41,21.9,0,1
RR,Avesh Khan,2024-2024,16,15,54.5,0,526,19,3/27,27.68,9.59,17.3,0,0
RR,M Prasidh Krishna,2022-2022,17,17,66.3,3,551,19,3/22,29.0,8.28,21.0,0,0
RR,CH Morris,2021-2021,11,11,41.0,0,376,15,4/23,25.06,9.17,16.4,1,0
RR,Mustafizur Rahman,2021-2021,14,14,51.5,0,436,14,3/20,31.14,8.41,22.2,0,0
RR,C Sakariya,2021-2021,14,14,52.0,1,426,14,3/31,30.42,8.19,22.2,0,0
RR,KR Sen,2022-2024,12,12,40.1,0,387,14,4/20,27.64,9.63,17.2,1,0
RR,OC McCoy,2022-2023,8,8,26.5,0,250,11,3/23,22.72,9.31,14.6,0,0
RR,R Tewatia,2021-2021,14,13,37.0,0,340,8,3/39,42.5,9.18,27.7,0,0
RR,A Zampa,2023-2023,6,6,22.0,0,188,8,3/22,23.5,8.54,16.5,0,0
RR,N Burger,2024-2024,6,5,17.0,0,145,7,2/29,20.71,8.52,14.5,0,0
RR,NA Saini,2022-2023,4,4,12.0,0,146,6,3/40,24.33,12.16,12.0,0,0
RR,JO Holder,2023-2023,8,8,28.3,0,284,4,2/29,71.0,9.96,42.7,0,0
RR,Kartik Tyagi,2021-2021,4,4,14.0,0,124,4,2/29,31.0,8.85,21.0,0,0
RR,JD Unadkat,2021-2021,6,6,22.0,0,168,4,3/15,42.0,7.63,33.0,0,0
RR,KM Asif,2023-2023,4,4,14.0,0,138,3,2/42,46.0,9.85,28.0,0,0
RR,KA Maharaj,2024-2024,2,2,6.0,0,39,2,2/23,19.5,6.5,18.0,0,0
RR,R Parag,2021-2024,51,12,13.1,0,159,2,1/7,79.5,12.07,39.5,0,0
RR,K Yadav,2021-2023,3,3,9.0,0,84,2,1/18,42.0,9.33,27.0,0,0
RR,MK Lomror,2021-2021,4,4,7.0,0,47,1,1/22,47.0,6.71,42.0,0,0
RR,GD Phillips,2021-2021,3,2,2.0,0,20,1,1/17,20.0,10.0,12.0,0,0
RR,Akash Singh,2021-2021,1,1,4.0,0,39,0,,,9.75,,0,0
RR,M Ashwin,2023-2023,2,2,4.0,0,53,0,,,13.25,,0,0
RR,NM Coulter-Nile,2022-2022,1,1,3.0,0,48,0,,,16.0,,0,0
RR,S Dube,2021-2021,9,4,5.0,0,49,0,,,9.8,,0,0
RR,S Gopal,2021-2021,3,3,7.0,0,84,0,,,12.0,,0,0
RR,YBK Jaiswal,2021-2024,50,1,0.1,0,6,0,,,36.0,,0,0
RR,M Markande,2021-2021,1,1,3.0,0,26,0,,,8.66,,0,0
RR,DJ Mitchell,2022-2022,2,2,2.0,0,27,0,,,13.5,,0,0
RR,JDS Neesham,2022-2022,2,1,3.0,0,29,0,,,9.66,,0,0
RR,JE Root,2023-2023,3,1,2.0,0,14,0,,,7.0,,0,0
RR,T Shamsi,2021-2021,1,1,4.0,0,34,0,,,8.5,,0,0
RR,BA Stokes,2021-2021,1,1,1.0,0,12,0,,,12.0,,0,0
RR,Abdul Basith,2023-2023,1,,,,,,,,,,,
RR,Anuj Rawat,2021-2021,2,,,,,,,,,,,
RR,JC Buttler,2021-2024,49,,,,,,,,,,,
RR,SB Dubey,2024-2024,4,,,,,,,,,,,
RR,D Ferreira,2024-2024,2,,,,,,,,,,,
RR,SO Hetmyer,2022-2024,41,,,,,,,,,,,
RR,DC Jurel,2023-2024,28,,,,,,,,,,,
RR,T Kohler-Cadmore,2024-2024,4,,,,,,,,,,,
RR,TK Kotian,2024-2024,1,,,,,,,,,,,
RR,E Lewis,2021-2021,5,,,,,,,,,,,
RR,LS Livingstone,2021-2021,5,,,,,,,,,,,
RR,DA Miller,2021-2021,9,,,,,,,,,,,
RR,KK Nair,2022-2022,3,,,,,,,,,,,
RR,D Padikkal,2022-2023,28,,,,,,,,,,,
RR,R Powell,2024-2024,10,,,,,,,,,,,
RR,SV Samson,2021-2024,61,,,,,,,,,,,
RR,HE van der Dussen,2022-2022,3,,,,,,,,,,,
RR,M Vohra,2021-2021,4,,,,,,,,,,,
PBKS,Arshdeep Singh,2021-2024,54,54,192.3,0,1725,64,5/32,26.95,8.96,18.0,2,1
PBKS,K Rabada,2022-2024,30,30,113.0,0,1010,41,4/33,24.63,8.93,16.5,2,0
PBKS,RD Chahar,2022-2024,36,36,127.2,1,1024,32,3/23,32.0,8.04,23.8,0,0
PBKS,SM Curran,2023-2024,27,27,88.5,0,905,26,3/28,34.8,10.18,20.5,0,0
PBKS,Harpreet Brar,2021-2024,38,36,104.1,1,806,25,4/30,32.24,7.73,25.0,1,0
PBKS,HV Patel,2024-2024,14,14,49.0,0,477,24,3/15,19.87,9.73,12.2,0,0
PBKS,Mohammed Shami,2021-2021,14,14,52.4,1,395,19,3/21,20.78,7.5,16.6,0,0
PBKS,NT Ellis,2021-2024,16,16,59.0,0,508,18,4/30,28.22,8.61,19.6,1,0
PBKS,Ravi Bishnoi,2021-2021,9,9,36.0,0,230,12,3/24,19.16,6.38,18.0,0,0
PBKS,LS Livingstone,2022-2024,30,21,42.0,0,380,11,3/27,34.54,9.04,22.9,0,0
PBKS,R Dhawan,2022-2024,13,11,29.0,0,251,7,2/36,35.85,8.65,24.8,0,0
PBKS,OF Smith,2022-2022,6,6,15.0,0,178,6,4/30,29.66,11.86,15.0,1,0
PBKS,MC Henriques,2021-2021,5,5,10.0,0,45,4,3/12,11.25,4.5,15.0,0,0
PBKS,CJ Jordan,2021-2021,4,4,12.0,0,96,4,2/20,24.0,8.0,18.0,0,0
PBKS,RP Meredith,2021-2021,5,5,17.0,0,169,4,1/29,42.25,9.94,25.5,0,0
PBKS,VG Arora,2022-2022,5,5,17.5,0,164,3,2/21,54.66,9.19,35.6,0,0
PBKS,JA Richardson,2021-2021,3,3,11.0,0,117,3,2/41,39.0,10.63,22.0,0,0
