Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
DC,T Stubbs,2024-2024,14,14,7,7,0,0,7,,0.5
DC,SN Thakur,2022-2022,14,14,7,7,0,0,7,,0.5
DC,Abishek Porel,2023-2024,18,18,6,6,0,6,0,,0.333
DC,SD Hope,2024-2024,9,9,6,6,0,0,6,,0.666
DC,SS Iyer,2021-2021,8,8,6,6,0,0,6,,0.75
DC,Mukesh Kumar,2023-2024,20,20,6,6,0,0,6,,0.3
DC,A Nortje,2021-2024,30,30,6,6,0,0,6,,0.2
DC,PD Salt,2023-2023,9,9,5,5,0,5,0,,0.555
DC,SO Hetmyer,2021-2021,14,14,4,4,0,0,4,,0.285
DC,SN Khan,2022-2023,10,10,4,4,0,2,2,,0.4
DC,KK Ahmed,2022-2024,33,33,3,3,0,0,3,,0.09
DC,R Ashwin,2021-2021,13,13,3,3,0,0,3,,0.23
DC,J Fraser-McGurk,2024-2024,9,9,3,3,0,0,3,,0.333
DC,MR Marsh,2022-2024,21,21,3,3,0,0,3,,0.142
DC,MK Pandey,2023-2023,10,10,3,3,0,0,3,,0.3
DC,RR Rossouw,2023-2023,9,9,3,3,0,0,3,,0.333
DC,YV Dhull,2023-2023,4,4,2,2,0,0,2,,0.5
DC,RV Patel,2021-2023,9,9,2,2,0,0,2,,0.222
DC,C Sakariya,2022-2023,5,5,2,2,0,0,2,,0.4
DC,I Sharma,2021-2024,20,20,2,2,0,0,2,,0.1
DC,MP Stoinis,2021-2021,10,10,2,2,0,0,2,,0.2
DC,Avesh Khan,2021-2021,16,16,1,1,0,0,1,,0.062
DC,Gulbadin Naib,2024-2024,2,2,1,1,0,0,1,,0.5
