Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Shashank Singh,80.11627906976746,54.30232558139535,51.889534883720934,7.5,BAT,PBKS
Shimron Hetmyer,82.15116279069767,51.74418604651163,65.98837209302326,7.5,BAT,RR
Shivam Dube,87.03488372093024,21.80232558139535,62.3546511627907,8.0,BAT,CSK
Shreyas Gopal,15.290697674418608,45.98837209302325,32.122093023255815,6.5,BOWL,CSK
Shreyas Iyer,75.20348837209303,45.377906976744185,63.51744186046512,8.5,BAT,PBKS
Shubham Dubey,72.32558139534885,51.74418604651163,26.308139534883722,5.5,BAT,RR
Shubman Gill,87.55813953488372,51.74418604651163,62.3546511627907,9.0,BAT,GT
Simarjeet- Singh,17.325581395348838,39.70930232558139,35.02906976744186,6.0,BOWL,CSK
Spencer Johnson,25.232558139534888,35.639534883720934,35.901162790697676,6.5,BOWL,KKR
Sunil Narine,88.89534883720933,73.83720930232559,68.1686046511628,9.0,ALL,KKR
Suryakumar Yadav,89.65116279069767,51.74418604651163,71.07558139534885,9.0,BAT,MI
Suyash Sharma,7.819767441860466,37.09302325581395,29.360465116279073,6.0,BOWL,RCB
Swapnil Singh,40.40697674418605,50.23255813953489,34.44767441860465,7.0,ALL,RCB
T Natarajan,18.255813953488374,66.62790697674419,55.08720930232558,7.5,BOWL,DC
Tilak Varma,83.02325581395351,43.80813953488372,67.73255813953489,8.0,BAT,MI
Tim David,52.61627906976745,51.74418604651163,58.28488372093024,7.5,BAT,RCB
Travis Head,87.87790697674419,25.668604651162788,26.308139534883722,9.0,BAT,SRH
Trent Boult,34.59302325581396,70.93023255813954,56.83139534883721,8.5,BOWL,MI
Tristan Stubbs,63.08139534883721,54.65116279069767,43.75,8.0,BAT,DC
Tushar Deshpande,7.819767441860466,55.75581395348838,38.51744186046512,7.5,BOWL,RR
Umran Malik,51.48255813953489,60.58139534883721,49.7093023255814,6.0,BOWL,KKR
Vaibhav Arora,31.947674418604656,53.343023255813954,44.912790697674424,6.5,BOWL,KKR
Varun Chakravarthy,28.488372093023262,75.90116279069767,62.3546511627907,9.0,BOWL,KKR
Venkatesh Iyer,78.19767441860466,30.959302325581394,65.40697674418605,8.0,BAT,KKR
Vijay Shankar,66.51162790697676,32.73255813953488,52.90697674418605,6.5,BAT,CSK
Virat Kohli,83.89534883720931,41.71511627906976,72.52906976744185,9.0,BAT,RCB
Vishnu Vinod,45.203488372093034,51.74418604651163,26.308139534883722,6.5,WK,MI
Vyshak Vijaykumar,36.22093023255814,45.145348837209305,44.912790697674424,7.0,BOWL,PBKS
Wanindu Hasaranga,42.06395348837209,70.49418604651163,41.27906976744186,8.5,ALL,RR
Washington Sundar,52.90697674418605,45.26162790697674,41.27906976744186,7.0,ALL,GT
Will Jacks,45.5232558139535,49.127906976744185,35.02906976744186,7.5,ALL,MI
Yash Dayal,7.819767441860466,48.02325581395349,38.80813953488372,7.0,BOWL,RCB
Yash Thakur,7.819767441860466,52.44186046511628,37.5,6.5,BOWL,PBKS
Yashasvi Jaiswal,87.87790697674421,25.319767441860463,66.42441860465117,9.0,BAT,RR
Yudhvir Singh Charak,46.68604651162791,37.848837209302324,26.308139534883722,6.5,ALL,RR
Yuzvendra Chahal,22.470930232558143,72.26744186046513,49.7093023255814,8.5,BOWL,PBKS
