Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team,Bowler Type
Shreyas Iyer,50.32467532467533,50.29220779220779,66.3961038961039,8.5,BAT,DC,-
Shubman Gill,50.32467532467533,50.29220779220779,64.77272727272727,9.0,BAT,GT,-
Simarjeet- Singh,50.32467532467533,43.83116883116884,38.47402597402598,6.0,BOWL,CSK,PACE
Spencer Johnson,50.32467532467533,30.064935064935064,35.38961038961039,6.5,BOWL,GT,PACE
Sunil Narine,50.32467532467533,77.6948051948052,68.66883116883116,9.0,ALL,KKR,SPIN
Suryakumar Yadav,50.32467532467533,50.29220779220779,69.31818181818181,9.0,BAT,KKR,-
Suyash Sharma,50.32467532467533,41.13636363636363,27.5974025974026,6.0,BOWL,KKR,SPIN
Swapnil Singh,50.32467532467533,41.00649350649351,27.5974025974026,7.0,ALL,LSG,SPIN
Tilak Varma,50.32467532467533,50.29220779220779,65.9090909090909,8.0,BAT,MI,-
Tim David,50.32467532467533,50.29220779220779,65.09740259740259,7.5,BAT,MI,-
Trent Boult,50.32467532467533,56.81818181818182,49.83766233766234,8.5,BOWL,DC,PACE
Tristan Stubbs,50.32467532467533,50.29220779220779,48.53896103896104,8.0,BAT,DC,-
Tushar Deshpande,50.32467532467533,40.00000000000001,36.85064935064935,7.5,BOWL,CSK,PACE
Vaibhav Arora,50.32467532467533,36.62337662337662,36.52597402597402,6.5,BOWL,KKR,PACE
Varun Chakravarthy,50.32467532467533,75.0,60.064935064935064,9.0,BOWL,KKR,SPIN
Venkatesh Iyer,50.32467532467533,23.928571428571434,64.12337662337661,8.0,BAT,KKR,-
Vijay Shankar,50.32467532467533,44.740259740259745,47.88961038961039,6.5,BAT,DC,-
Virat Kohli,50.32467532467533,50.29220779220779,72.72727272727272,9.0,BAT,RCB,-
Vyshak Vijaykumar,50.32467532467533,38.311688311688314,42.37012987012987,7.0,BOWL,RCB,PACE
Wanindu Hasaranga,50.32467532467533,68.44155844155844,27.5974025974026,8.5,ALL,RCB,SPIN
Washington Sundar,50.32467532467533,56.33116883116884,42.37012987012987,7.0,ALL,RCB,SPIN
Yash Dayal,50.32467532467533,40.00000000000001,32.62987012987013,7.0,BOWL,GT,PACE
Yash Thakur,50.32467532467533,45.84415584415584,35.38961038961039,6.5,BOWL,LSG,PACE
Yashasvi Jaiswal,50.32467532467533,50.29220779220779,64.12337662337661,9.0,BAT,RR,-
Yudhvir Singh Charak,50.32467532467533,30.649350649350648,27.5974025974026,6.5,ALL,LSG,PACE
Yuzvendra Chahal,50.32467532467533,74.41558441558442,62.824675324675326,8.5,BOWL,RCB,SPIN
