Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
Arshdeep Singh,2019-2024,65,65,12,12,0,0,12,2 (2ct 0st),0.184,PBKS,2013-01-01,2025-03-01
GJ Bailey,2014-2015,35,35,12,12,0,0,12,1 (1ct 0st),0.342,PBKS,2013-01-01,2025-03-01
RD Chahar,2022-2024,36,36,12,12,0,0,12,2 (2ct 0st),0.333,PBKS,2013-01-01,2025-03-01
AC Gilchrist,2013-2013,13,13,12,12,0,12,0,2 (2ct 0st),0.923,PBKS,2013-01-01,2025-03-01
Gurkeerat Singh,2013-2017,25,25,12,11,1,0,11,3 (3ct 0st),0.48,PBKS,2013-01-01,2025-03-01
LS Livingstone,2022-2024,30,30,11,11,0,0,11,2 (2ct 0st),0.366,PBKS,2013-01-01,2025-03-01
N Pooran,2019-2021,33,33,11,11,0,1,10,1 (1ct 0st),0.333,PBKS,2013-01-01,2025-03-01
JM Bairstow,2022-2024,22,22,10,10,0,2,8,2 (2ct 0st),0.454,PBKS,2013-01-01,2025-03-01
DJ Hooda,2020-2021,19,19,10,10,0,0,10,2 (2ct 0st),0.526,PBKS,2013-01-01,2025-03-01
KK Nair,2018-2020,18,18,10,10,0,0,10,3 (3ct 0st),0.555,PBKS,2013-01-01,2025-03-01
Sandeep Sharma,2013-2022,61,61,10,10,0,0,10,2 (2ct 0st),0.163,PBKS,2013-01-01,2025-03-01
R Ashwin,2018-2019,28,28,9,9,0,0,9,1 (1ct 0st),0.321,PBKS,2013-01-01,2025-03-01
SE Marsh,2013-2017,29,29,8,8,0,0,8,2 (2ct 0st),0.275,PBKS,2013-01-01,2025-03-01
Mohammed Shami,2019-2021,42,42,8,8,0,0,8,1 (1ct 0st),0.19,PBKS,2013-01-01,2025-03-01
MM Sharma,2016-2018,37,37,8,8,0,0,8,2 (2ct 0st),0.216,PBKS,2013-01-01,2025-03-01
M Ashwin,2019-2021,22,22,7,7,0,0,7,2 (2ct 0st),0.318,PBKS,2013-01-01,2025-03-01
K Rabada,2022-2024,30,30,7,7,0,0,7,1 (1ct 0st),0.233,PBKS,2013-01-01,2025-03-01
Shashank Singh,2024-2024,14,14,7,7,0,0,7,1 (1ct 0st),0.5,PBKS,2013-01-01,2025-03-01
AJ Tye,2018-2019,20,20,7,7,0,0,7,2 (2ct 0st),0.35,PBKS,2013-01-01,2025-03-01
Anureet Singh,2014-2017,22,22,6,6,0,0,6,2 (2ct 0st),0.272,PBKS,2013-01-01,2025-03-01
R Dhawan,2014-2024,33,33,6,6,0,0,6,1 (1ct 0st),0.181,PBKS,2013-01-01,2025-03-01
CH Gayle,2018-2021,41,41,6,6,0,0,6,1 (1ct 0st),0.146,PBKS,2013-01-01,2025-03-01
MJ Guptill,2017-2017,7,7,6,6,0,0,6,3 (3ct 0st),0.857,PBKS,2013-01-01,2025-03-01
Karanveer Singh,2014-2015,14,14,6,6,0,0,6,2 (2ct 0st),0.428,PBKS,2013-01-01,2025-03-01
M Vijay,2015-2016,25,25,6,6,0,0,6,2 (2ct 0st),0.24,PBKS,2013-01-01,2025-03-01
MG Johnson,2014-2016,26,26,5,5,0,0,5,1 (1ct 0st),0.192,PBKS,2013-01-01,2025-03-01
CJ Jordan,2020-2021,13,13,5,5,0,0,5,2 (2ct 0st),0.384,PBKS,2013-01-01,2025-03-01
HV Patel,2024-2024,14,14,5,5,0,0,5,1 (1ct 0st),0.357,PBKS,2013-01-01,2025-03-01
V Sehwag,2014-2015,30,30,5,5,0,0,5,1 (1ct 0st),0.166,PBKS,2013-01-01,2025-03-01
Sikandar Raza,2023-2024,9,9,5,5,0,0,5,3 (3ct 0st),0.555,PBKS,2013-01-01,2025-03-01
MP Stoinis,2016-2018,19,19,5,5,0,0,5,2 (2ct 0st),0.263,PBKS,2013-01-01,2025-03-01
A Taide,2023-2024,9,9,5,5,0,0,5,2 (2ct 0st),0.555,PBKS,2013-01-01,2025-03-01
P Awana,2013-2014,26,26,4,4,0,0,4,1 (1ct 0st),0.153,PBKS,2013-01-01,2025-03-01
AJ Finch,2018-2018,10,10,4,4,0,0,4,2 (2ct 0st),0.4,PBKS,2013-01-01,2025-03-01
DJ Hussey,2013-2013,12,12,4,4,0,0,4,1 (1ct 0st),0.333,PBKS,2013-01-01,2025-03-01
SN Khan,2019-2021,15,15,4,4,0,0,4,2 (2ct 0st),0.266,PBKS,2013-01-01,2025-03-01
Prabhsimran Singh,2019-2024,34,34,4,4,0,2,2,1 (1ct 0st),0.117,PBKS,2013-01-01,2025-03-01
KA Pollard,2013-2022,153,153,88,88,0,0,88,2 (2ct 0st),0.575,MI,2013-01-01,2025-03-01
RG Sharma,2013-2024,184,184,59,59,0,0,59,3 (3ct 0st),0.32,MI,2013-01-01,2025-03-01
HH Pandya,2015-2024,106,106,57,57,0,0,57,3 (3ct 0st),0.537,MI,2013-01-01,2025-03-01
Ishan Kishan,2018-2024,89,89,52,47,5,44,3,3 (3ct 0st),0.584,MI,2013-01-01,2025-03-01
Q de Kock,2019-2021,43,43,47,39,8,39,0,4 (4ct 0st),1.093,MI,2013-01-01,2025-03-01
SA Yadav,2018-2024,95,95,43,43,0,0,43,3 (3ct 0st),0.452,MI,2013-01-01,2025-03-01
AT Rayudu,2013-2017,75,75,32,32,0,1,31,3 (3ct 0st),0.426,MI,2013-01-01,2025-03-01
KH Pandya,2016-2021,84,84,28,28,0,0,28,2 (2ct 0st),0.333,MI,2013-01-01,2025-03-01
PA Patel,2015-2017,40,40,28,22,6,22,0,4 (4ct 0st),0.7,MI,2013-01-01,2025-03-01
Harbhajan Singh,2013-2017,81,81,25,25,0,0,25,2 (2ct 0st),0.308,MI,2013-01-01,2025-03-01
NT Tilak Varma,2022-2024,38,38,23,23,0,0,23,2 (2ct 0st),0.605,MI,2013-01-01,2025-03-01
TH David,2022-2024,37,37,22,22,0,0,22,4 (4ct 0st),0.594,MI,2013-01-01,2025-03-01
KD Karthik,2013-2013,24,24,17,13,4,13,0,3 (2ct 1st),0.708,MI,2013-01-01,2025-03-01
JJ Bumrah,2013-2024,136,136,16,16,0,0,16,2 (2ct 0st),0.117,MI,2013-01-01,2025-03-01
DR Smith,2013-2013,18,18,14,14,0,0,14,3 (3ct 0st),0.777,MI,2013-01-01,2025-03-01
RD Chahar,2019-2021,39,39,10,10,0,0,10,2 (2ct 0st),0.256,MI,2013-01-01,2025-03-01
LMP Simmons,2014-2017,32,32,10,10,0,0,10,2 (2ct 0st),0.312,MI,2013-01-01,2025-03-01
TA Boult,2020-2021,29,29,9,9,0,0,9,1 (1ct 0st),0.31,MI,2013-01-01,2025-03-01
JC Buttler,2016-2017,24,24,8,8,0,4,4,2 (2ct 0st),0.333,MI,2013-01-01,2025-03-01
MG Johnson,2013-2017,25,25,8,8,0,0,8,2 (2ct 0st),0.32,MI,2013-01-01,2025-03-01
J Suchith,2015-2016,14,14,8,8,0,0,8,2 (2ct 0st),0.571,MI,2013-01-01,2025-03-01
BCJ Cutting,2018-2019,12,12,7,7,0,0,7,2 (2ct 0st),0.583,MI,2013-01-01,2025-03-01
SL Malinga,2013-2019,69,69,7,7,0,0,7,1 (1ct 0st),0.101,MI,2013-01-01,2025-03-01
Mohammad Nabi,2024-2024,7,7,7,7,0,0,7,2 (2ct 0st),1.0,MI,2013-01-01,2025-03-01
DR Sams,2022-2022,11,11,7,7,0,0,7,2 (2ct 0st),0.636,MI,2013-01-01,2025-03-01
CJ Anderson,2014-2015,16,16,6,6,0,0,6,1 (1ct 0st),0.375,MI,2013-01-01,2025-03-01
CM Gautam,2014-2014,9,9,6,3,3,3,0,2 (2ct 0st),0.666,MI,2013-01-01,2025-03-01
E Lewis,2018-2019,16,16,6,6,0,0,6,2 (2ct 0st),0.375,MI,2013-01-01,2025-03-01
R Vinay Kumar,2015-2017,17,17,6,6,0,0,6,1 (1ct 0st),0.352,MI,2013-01-01,2025-03-01
N Wadhera,2023-2024,20,20,6,6,0,0,6,2 (2ct 0st),0.3,MI,2013-01-01,2025-03-01
NM Coulter-Nile,2013-2021,18,18,5,5,0,0,5,2 (2ct 0st),0.277,MI,2013-01-01,2025-03-01
C Green,2023-2023,16,16,5,5,0,0,5,2 (2ct 0st),0.312,MI,2013-01-01,2025-03-01
M Markande,2018-2022,19,19,5,5,0,0,5,2 (2ct 0st),0.263,MI,2013-01-01,2025-03-01
HR Shokeen,2022-2023,13,13,5,5,0,0,5,1 (1ct 0st),0.384,MI,2013-01-01,2025-03-01
TG Southee,2016-2017,14,14,5,5,0,0,5,2 (2ct 0st),0.357,MI,2013-01-01,2025-03-01
AP Tare,2013-2015,25,25,5,1,4,1,0,1 (1ct 0st),0.2,MI,2013-01-01,2025-03-01
R Dhawan,2013-2013,11,11,4,4,0,0,4,2 (2ct 0st),0.363,MI,2013-01-01,2025-03-01
MEK Hussey,2014-2014,12,12,4,4,0,0,4,1 (1ct 0st),0.333,MI,2013-01-01,2025-03-01
N Rana,2016-2017,17,17,4,4,0,0,4,1 (1ct 0st),0.235,MI,2013-01-01,2025-03-01
SR Tendulkar,2013-2013,19,19,4,4,0,0,4,2 (2ct 0st),0.21,MI,2013-01-01,2025-03-01
J Yadav,2019-2021,9,9,4,4,0,0,4,2 (2ct 0st),0.444,MI,2013-01-01,2025-03-01
D Brevis,2022-2024,10,10,3,3,0,0,3,1 (1ct 0st),0.3,MI,2013-01-01,2025-03-01
UBT Chand,2015-2016,7,7,3,3,0,0,3,1 (1ct 0st),0.428,MI,2013-01-01,2025-03-01
PP Chawla,2021-2024,28,28,3,3,0,0,3,1 (1ct 0st),0.107,MI,2013-01-01,2025-03-01
BR Dunk,2014-2014,3,3,3,3,0,0,3,2 (2ct 0st),1.0,MI,2013-01-01,2025-03-01
S Gopal,2014-2024,11,11,3,3,0,0,3,1 (1ct 0st),0.272,MI,2013-01-01,2025-03-01
A Kamboj,2024-2024,3,3,3,3,0,0,3,2 (2ct 0st),1.0,MI,2013-01-01,2025-03-01
