Player,Credits,Player Type,Team,Batting Form,Bowling Form,Fielding Form
Jacob Bethell,7.0,BAT,RCB,,,
Rasikh Salam,6.5,BOWL,RCB,16.393129770992367,64.71374045801527,58.20610687022901
Yash Dayal,7.0,BOWL,RCB,16.393129770992367,91.33587786259542,37.595419847328245
Manoj Bhandage,6.5,ALL,RCB,,,
Nuwan Thushara,7.5,BOWL,RCB,,,
Romario Shepherd,7.0,ALL,RCB,,,
Tim David,7.5,BAT,RCB,73.66412213740458,30.0,37.595419847328245
Devdutt Padikkal,7.0,BAT,RCB,69.80916030534351,30.0,37.595419847328245
Krunal Pandya,7.5,ALL,RCB,16.393129770992367,86.52671755725191,58.20610687022901
Rajat Patidar,8.0,BAT,RCB,85.66793893129771,30.0,37.595419847328245
Jitesh Sharma,7.5,WK,RCB,67.51908396946564,30.0,85.0
Lungi Ngidi,7.5,BOWL,RCB,,,
Philip Salt,8.5,WK,RCB,87.48091603053436,30.0,72.13740458015268
Liam Livingstone,8.0,ALL,RCB,71.79389312977099,84.84732824427482,37.595419847328245
Josh Hazlewood,8.5,BOWL,RCB,16.393129770992367,96.98473282442748,37.595419847328245
Bhuvneshwar Kumar,8.0,BOWL,RCB,16.393129770992367,77.93893129770993,37.595419847328245
Swapnil Singh,7.0,ALL,RCB,,,
Virat Kohli,9.0,BAT,RCB,77.84351145038168,30.0,37.595419847328245
Vaibhav Suryavanshi,5.0,BAT,RR,,,
Ashok Sharma,5.0,BOWL,RR,,,
Kwena Maphaka,6.0,BOWL,RR,,,
Kunal Singh Rathore,5.0,WK,RR,,,
Akash Madhwal,7.0,BOWL,RR,,,
Shubham Dubey,5.5,BAT,RR,79.02671755725191,30.0,37.595419847328245
Yudhvir Singh Charak,6.5,ALL,RR,,,
Maheesh Theekshana,7.5,BOWL,RR,30.820610687022903,76.37404580152672,37.595419847328245
Dhruv Jurel,7.5,WK,RR,84.23664122137406,30.0,68.05343511450383
Kumar Kartikeya,6.0,BOWL,RR,34.23664122137405,40.38167938931298,37.595419847328245
Yashasvi Jaiswal,9.0,BAT,RR,61.39312977099237,30.0,72.13740458015268
FazalHaq Farooqi,7.0,BOWL,RR,16.393129770992367,34.42748091603053,37.595419847328245
Riyan Parag,8.0,ALL,RR,74.92366412213741,49.31297709923665,72.13740458015268
Tushar Deshpande,7.5,BOWL,RR,35.22900763358779,80.17175572519085,58.20610687022901
Jofra Archer,8.0,BOWL,RR,63.81679389312977,61.278625954198475,58.20610687022901
Wanindu Hasaranga,8.5,ALL,RR,39.00763358778626,87.70992366412214,37.595419847328245
Nitish Rana,7.5,ALL,RR,90.38167938931298,44.61832061068702,37.595419847328245
Shimron Hetmyer,7.5,BAT,RR,75.1145038167939,30.0,72.13740458015268
Sandeep Sharma,7.5,BOWL,RR,16.393129770992367,73.3969465648855,37.595419847328245
Sanju Samson,9.0,WK,RR,83.96946564885496,30.0,37.595419847328245
Aniket Verma,5.0,BAT,SRH,93.72137404580153,30.0,37.595419847328245
Eshan Malinga,6.0,BOWL,SRH,,,
K Nitish Reddy,8.0,ALL,SRH,69.65648854961832,30.0,58.20610687022901
Abhinav Manohar,6.5,BAT,SRH,33.148854961832065,30.0,67.93893129770993
Atharva Taide,6.5,BAT,SRH,,,
Simarjeet  Singh,6.0,BOWL,SRH,32.156488549618324,69.61832061068702,37.595419847328245
Rahul Chahar,6.5,BOWL,SRH,,,
Abhishek Sharma,8.5,ALL,SRH,67.09923664122137,44.274809160305345,37.595419847328245
Kamindu Mendis,7.0,BAT,SRH,,,
Wiaan Mulder,7.0,ALL,SRH,,,
Zeeshan Ansari,5.5,BOWL,SRH,,,
Ishan Kishan,8.0,WK,SRH,94.02671755725191,33.74045801526718,58.20610687022901
Heinrich Klaasen,9.0,WK,SRH,86.39312977099236,30.0,68.05343511450383
Sachin Baby,6.5,BAT,SRH,,,
Travis Head,9.0,BAT,SRH,94.52290076335878,30.0,37.595419847328245
Adam Zampa,7.5,BOWL,SRH,16.393129770992367,71.22137404580153,37.595419847328245
Harshal Patel,8.0,BOWL,SRH,43.530534351145036,86.8702290076336,58.20610687022901
Pat Cummins,8.5,BOWL,SRH,64.86641221374046,69.67557251908397,72.13740458015268
Mohammed Shami,8.5,BOWL,SRH,30.34351145038168,72.36641221374046,58.20610687022901
Jaydev Unadkat,7.0,BOWL,SRH,,,
