Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Rahul Tripathi,58.95580443159923,41.115606936416185,42.42477520873475,7.5,BAT,CHE
Glenn Maxwell,60.66028420038535,70.8298811817598,64.17092164418754,8.5,ALL,PBKS
Glenn Phillips,66.61841204850597,41.844597745970574,40.61332270544698,8.0,BAT,GT
Rahmanullah Gurbaz,68.37593741735616,41.16871151157959,71.04271978540935,7.5,WK,KKR
Quinton de Kock,69.44010918432883,41.115606936416185,73.82434168272319,8.0,WK,KKR
Aiden Markram,68.37732819524729,38.800578034682076,50.748474630700066,8.0,ALL,LSG
Rovman Powell,68.33517505428634,41.939973468513934,56.480374728568364,7.0,BAT,KKR
Ajinkya Rahane,73.56779865125242,41.115606936416185,57.75272960822093,7.5,BAT,KKR
Sam Curran,54.60930475272961,45.24526332691073,53.23603082851638,7.5,ALL,CHE
Will Jacks,62.75859023763649,48.822816313423246,47.37981695568401,7.5,ALL,MI
Jos Buttler,76.99100834938986,41.115606936416185,61.98041104688504,9.0,WK,GT
Angkrish Raghuvanshi,72.01874598587027,41.115606936416185,48.20712909441233,6.5,BAT,KKR
Atharva Taide,69.09818083463315,25.838817399149768,50.150894959782235,6.5,BAT,SRH
Shubham Dubey,71.49995985870262,41.115606936416185,29.3322896596018,5.5,BAT,RR
Ashutosh Sharma,74.3541265253693,41.115606936416185,31.67333012202954,7.0,BAT,DC
Nehal Wadhera,74.78456165703275,37.42196531791908,45.11263648041105,7.5,BAT,PBKS
Vijay Shankar,67.65944123314065,30.13872832369942,54.883429672447015,6.5,BAT,CHE
Naman Dhir,74.60019267822736,41.17300899165061,55.709537572254334,6.5,ALL,MI
Hardik Pandya,74.4014129736673,67.57329800899166,61.42605973025048,9.0,ALL,MI
MS Dhoni,70.30417469492613,41.115606936416185,89.84746307000643,7.0,WK,CHE
Ramandeep Singh,65.22254335260115,26.54913294797688,56.44412331406551,7.5,ALL,KKR
K Nitish Reddy,70.50690430314708,31.231213872832367,51.848747591522155,8.0,ALL,SRH
Nitish Rana,78.9628291586384,44.177344251766215,46.32650931278099,7.5,ALL,RR
Ayush Badoni,70.01830443159923,40.361271676300575,64.89426782273603,7.0,BAT,LSG
Mahipal Lomror,72.34095540110712,28.752112196837636,57.08731114475334,6.5,BAT,GT
Abdul Samad,75.44307964033396,40.02946371226718,66.80178227360308,6.5,BAT,LSG
Abishek Porel,73.82321772639692,41.115606936416185,50.869861913937065,6.5,WK,DC
David Miller,73.75706486833656,41.115606936416185,62.11970134874759,8.0,BAT,LSG
Mitchell Marsh,83.10067437379575,51.9364161849711,35.054833012202955,8.0,BAT,LSG
Philip Salt,78.11432241490044,41.115606936416185,64.62178869621067,8.5,WK,RCB
Shreyas Iyer,84.57811496467566,38.93063583815029,54.103082851637765,8.5,BAT,PBKS
Rahul Tewatia,70.48775690430315,27.849710982658962,69.02440590879897,7.0,ALL,GT
Axar Patel,74.18200064226076,62.750561978163134,70.41168914579319,9.0,ALL,DC
Shashank Singh,75.50790783558124,43.621387283237,53.7562620423892,7.5,BAT,PBKS
Dhruv Jurel,80.78359826589595,41.115606936416185,66.78893705844573,7.5,WK,RR
Ravindra Jadeja,71.73827874116891,74.37889370584458,70.93192035966602,8.5,ALL,CHE
Moeen Ali,59.44657193320488,77.22017501605652,61.55973025048169,7.0,ALL,KKR
Rachin Ravindra,75.6981936416185,38.82658959537572,59.258429672447015,8.0,BAT,CHE
Riyan Parag,81.25240847784201,36.52705523442518,70.67180475272961,8.0,ALL,RR
Lokesh Rahul,80.33899325626206,41.115606936416185,81.97463070006424,9.0,WK,DC
Rohit Sharma,71.46021997430958,27.849710982658962,51.788937058445725,9.0,BAT,MI
Prabhsimran Singh,80.0605732177264,41.115606936416185,47.58734746307,7.5,WK,PBKS
Devon Conway,65.8921403339756,41.115606936416185,48.14731856133591,8.0,WK,CHE
Sai Sudharsan,84.64210019267821,41.115606936416185,55.15157353885678,8.0,BAT,GT
Liam Livingstone,77.76529383429673,66.37660565189466,56.79897238278741,8.0,ALL,RCB
Venkatesh Iyer,78.52147559409119,32.323699421965316,65.93473025048169,8.0,BAT,KKR
Rinku Singh,77.26922768143866,41.115606936416185,62.860308285163775,7.5,BAT,KKR
Faf du Plessis,82.83329319203597,41.115606936416185,61.220937700706486,8.5,BAT,DC
Shimron Hetmyer,80.33148683365445,41.115606936416185,71.31607257546564,7.5,BAT,RR
Sunil Narine,77.20062620423892,77.42971258831085,59.738921001926784,9.0,ALL,KKR
Virat Kohli,84.82907835581246,41.115606936416185,64.16088631984586,9.0,BAT,RCB
Shivam Dube,77.66727681438664,25.82947976878613,65.32779383429673,8.0,BAT,CHE
Tilak Varma,83.73125401412973,36.32947976878613,69.80475272960823,8.0,BAT,MI
Ishan Kishan,87.4290301862556,42.018384714193964,76.17822736030828,8.0,WK,SRH
Rajat Patidar,89.32968047527295,41.115606936416185,48.14731856133591,8.0,BAT,RCB
Ruturaj Gaikwad,85.06354367373154,41.115606936416185,70.67180475272961,9.0,BAT,CHE
Travis Head,90.57658959537572,25.508670520231213,29.3322896596018,9.0,BAT,SRH
Shubman Gill,86.5557562620424,41.115606936416185,59.738921001926784,9.0,BAT,GT
Abhishek Sharma,75.74971901091843,46.833413615928066,53.002809890815676,8.5,ALL,SRH
Yashasvi Jaiswal,82.85721740526654,25.300578034682083,70.76051701991008,9.0,BAT,RR
Andre Russell,69.79977520873474,71.53709055876686,63.42027938342967,8.5,ALL,KKR
Sanju Samson,87.52356294155427,41.115606936416185,72.32072896596017,9.0,WK,RR
Heinrich Klaasen,90.42569845857417,41.115606936416185,86.32715157353886,9.0,WK,SRH
Suryakumar Yadav,91.1504495825305,41.115606936416185,54.823619139370585,9.0,BAT,MI
Nicholas Pooran,95.43513166345534,41.115606936416185,82.0995504174695,8.5,WK,LSG
Aaron Hardie,56.69140625,56.383914930555555,53.56658680555556,7.0,ALL,PBKS
Abhinandan Singh,25.668633123689727,64.11205765199162,37.1796394129979,5.0,BOWL,RCB
Ajay Mandal,56.69140625,56.383914930555555,53.56658680555556,6.5,ALL,DC
Aniket Verma,77.90277777777779,37.745999999999995,61.011111111111106,5.0,BAT,SRH
Arshin Kulkarni,56.69140625,56.383914930555555,53.56658680555556,6.0,ALL,LSG
Aryan Juyal,65.47998366013071,41.1711045751634,66.54202614379085,5.5,WK,LSG
Ashok Sharma,25.668633123689727,64.11205765199162,37.1796394129979,5.0,BOWL,RR
Ashwani Kumar,20.92872222222222,66.94172222222221,39.81066666666666,5.5,BOWL,MI
Bevon Jacobs,64.0692791005291,38.18019312169312,54.7098544973545,6.0,BAT,MI
Corbin Bosch,56.69140625,56.383914930555555,53.56658680555556,6.0,ALL,MI
Digvesh Singh,20.92872222222222,71.40005555555555,39.81066666666666,5.0,BOWL,LSG
Eshan Malinga,25.668633123689727,64.11205765199162,37.1796394129979,6.0,BOWL,SRH
Gurjapneet Singh,25.668633123689727,64.11205765199162,37.1796394129979,6.0,BOWL,CHE
Harnoor Singh Pannu,64.0692791005291,38.18019312169312,54.7098544973545,5.0,BAT,PBKS
Himmat Singh,64.0692791005291,38.18019312169312,54.7098544973545,5.5,BAT,LSG
Jacob Bethell,64.0692791005291,38.18019312169312,54.7098544973545,7.0,BAT,RCB
Jamie Overton,56.69140625,56.383914930555555,53.56658680555556,6.5,ALL,CHE
Josh Inglis,65.47998366013071,41.1711045751634,66.54202614379085,7.5,WK,PBKS
KL Shrijith,65.47998366013071,41.1711045751634,66.54202614379085,6.0,WK,MI
Kamindu Mendis,64.0692791005291,38.18019312169312,54.7098544973545,7.0,BAT,SRH
Kamlesh Nagarkoti,25.668633123689727,64.11205765199162,37.1796394129979,6.0,BOWL,CHE
Karim Janat,56.69140625,56.383914930555555,53.56658680555556,6.0,ALL,GT
Karun Nair,64.0692791005291,38.18019312169312,54.7098544973545,7.0,BAT,DC
Kunal Singh Rathore,65.47998366013071,41.1711045751634,66.54202614379085,5.0,WK,RR
Lungi Ngidi,25.668633123689727,67.11205765199162,37.1796394129979,7.5,BOWL,RCB
Luvnith Sisodia,65.47998366013071,41.1711045751634,66.54202614379085,5.5,WK,KKR
Madhav Tiwari,56.69140625,56.383914930555555,53.56658680555556,5.0,ALL,DC
Manoj Bhandage,56.69140625,56.383914930555555,53.56658680555556,6.5,ALL,RCB
Manvanth Kumar L,56.69140625,56.383914930555555,53.56658680555556,5.5,ALL,DC
Matthew Breetzke,64.0692791005291,38.18019312169312,54.7098544973545,6.5,BAT,LSG
Musheer Khan,56.69140625,56.383914930555555,53.56658680555556,6.0,ALL,PBKS
Nishant Sindhu,56.69140625,56.383914930555555,53.56658680555556,6.0,ALL,GT
Prince Yadav,20.92872222222222,60.309777777777775,33.074555555555555,5.5,BOWL,LSG
Priyansh Arya,69.93055555555556,37.745999999999995,58.44166666666666,6.5,BAT,PBKS
Pyla Avinash,64.0692791005291,38.18019312169312,54.7098544973545,5.5,BAT,PBKS
Raj Angad Bawa,41.78472222222222,37.745999999999995,54.06666666666666,5.5,BAT,MI
Ramakrishna Ghosh,56.69140625,56.383914930555555,53.56658680555556,5.5,ALL,CHE
Robin Minz,47.875,41.117999999999995,55.49055555555555,5.5,WK,MI
Ryan Rickelton,67.125,41.117999999999995,75.65722222222222,7.5,WK,MI
Sachin Baby,64.0692791005291,38.18019312169312,54.7098544973545,6.5,BAT,SRH
Satyanarayana Raju,47.95833333333333,57.24611111111111,52.470666666666666,5.5,ALL,MI
Shaik Rasheed,64.0692791005291,38.18019312169312,54.7098544973545,5.0,BAT,CHE
Sherfane Rutherford,72.20833333333333,37.745999999999995,47.330555555555556,7.0,BAT,GT
Suryansh Shedge,47.22916666666667,46.26,45.73455555555556,5.5,ALL,PBKS
Swastik Chikara,64.0692791005291,38.18019312169312,54.7098544973545,5.5,BAT,RCB
Tripurana Vijay,25.668633123689727,64.11205765199162,37.1796394129979,5.5,BOWL,DC
Vaibhav Suryavanshi,64.0692791005291,38.18019312169312,54.7098544973545,5.0,BAT,RR
Vansh Bedi,65.47998366013071,41.1711045751634,66.54202614379085,5.0,WK,CHE
Vignesh Puthur,46.66863312368973,64.11205765199162,37.1796394129979,5.0,BOWL,MI
Vipraj Nigam,65.70649999999999,64.30283333333333,39.81066666666666,5.0,BOWL,DC
Wiaan Mulder,56.69140625,56.383914930555555,53.56658680555556,7.0,ALL,SRH
Xavier Bartlett,25.668633123689727,64.11205765199162,37.1796394129979,6.5,BOWL,PBKS
Yuvraj Chaudhary,56.69140625,56.383914930555555,53.56658680555556,5.0,ALL,LSG
Zeeshan Ansari,25.668633123689727,64.11205765199162,37.1796394129979,5.5,BOWL,SRH
