Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Mayank Markande,34.02568174923829,68.66359127380977,42.61370765579268,6.0,BOWL,-,KKR
Mayank Yadav,20.447647067157362,69.69971844143983,39.535672973711755,7.5,BOWL,-,LSG
Mitchell Marsh,89.29175875552534,40.968208092485554,33.22757990479429,8.0,BAT,-,LSG
Mitchell Santner,50.334399438966344,59.79333134988099,50.947105576334586,7.5,ALL,-,MI
Mitchell Starc,25.388707072424346,82.37873597415845,53.24479343760626,8.5,BOWL,-,DC
Moeen Ali,43.36401309078545,81.07556953417205,60.35462002720163,7.0,ALL,-,KKR
Mohammed Shami,32.36249362461748,68.46774056443388,45.69761560693641,8.5,BOWL,-,SRH
Mohammed Siraj,20.24205202312139,88.26317579054745,49.59934971098266,8.0,BOWL,-,GT
Mohit Rathee,43.71756913748158,46.948582894140316,45.52010724810155,6.0,ALL,-,RCB
Mohit Sharma,21.985007225433527,68.49121259775586,36.91255100306019,7.5,BOWL,-,DC
Mohsin Khan,30.54880313652152,71.47283982872307,41.39983482342274,7.0,BOWL,-,LSG
Mujeeb-ur-Rahman,17.197,57.66673529411765,32.23744117647059,7.0,BOWL,-,MI
Mukesh Choudhary,19.231936416184972,54.95498979938797,35.395209962597754,6.5,BOWL,-,CHE
Mukesh Kumar,17.138005780346823,69.96021761305678,47.77854046242774,7.0,BOWL,-,DC
Musheer Khan,56.532598039215685,56.96008578431372,53.72124019607843,6.0,ALL,-,PBKS
Naman Dhir,74.15426300578035,44.67923325399523,64.60476878612717,6.5,ALL,-,MI
Nathan Ellis,16.700144508670522,60.42666184971098,31.53682845970758,7.0,BOWL,-,CHE
Nehal Wadhera,75.74399651479088,33.71098265895954,38.256481638898336,7.5,BAT,-,PBKS
Nicholas Pooran,97.37973903434204,35.55780346820809,78.21848435906155,8.5,WK,-,LSG
Nishant Sindhu,56.532598039215685,56.96008578431372,53.72124019607843,6.0,ALL,-,GT
Nitish Rana,78.27655346820808,43.600518531111874,38.8634180550833,7.5,ALL,-,RR
Noor Ahmad,22.578364076844615,88.78372577354641,35.87208857531452,7.5,BOWL,-,CHE
Nuwan Thushara,20.447647067157362,64.76619242987913,39.535672973711755,7.5,BOWL,-,RCB
Pat Cummins,64.37770953757226,64.37018658619517,66.93284597075825,8.5,BOWL,-,SRH
Philip Salt,83.74690793947636,35.55780346820809,66.68140088405305,8.5,WK,-,RCB
Prabhsimran Singh,79.777222883373,35.55780346820809,60.71442536552193,7.5,WK,-,PBKS
Prasidh Krishna,12.351878612716764,78.78126062563754,39.88836705202312,7.5,BOWL,-,GT
Pravin Dubey,28.15140429259089,65.78497855704676,37.584805921688634,6.0,BOWL,-,PBKS
Prince Yadav,25.292768454440598,68.18464907727798,39.45593886966551,5.5,BOWL,-,LSG
Priyansh Arya,68.9892463235294,34.62382720588235,53.05340073529412,6.5,BAT,-,PBKS
Pyla Avinash,65.9892463235294,34.62382720588235,53.05340073529412,5.5,BAT,-,PBKS
Quinton de Kock,73.5695235464128,35.55780346820809,71.43954012240735,8.0,WK,-,KKR
Rachin Ravindra,72.73880270316218,34.41329479768786,57.0164697381843,8.0,BAT,-,CHE
Rahmanullah Gurbaz,73.82751119233819,35.58525444860025,70.77740564433867,7.5,WK,-,KKR
