Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span,Start Date,End Date
DC,T Stubbs,7,2.0,2.0,0.0,40.0,0.0,,,20.0,,0.0,0.0,2025-2025,,
DC,Abishek Porel,7,,,,,,,,,,,,2025-2025,,
DC,F du Plessis,3,,,,,,,,,,,,2025-2025,,
DC,D Ferreira,1,,,,,,,,,,,,2025-2025,,
DC,J Fraser-McGurk,6,,,,,,,,,,,,2025-2025,,
DC,KK Nair,3,,,,,,,,,,,,2025-2025,,
DC,KL Rahul,6,,,,,,,,,,,,2025-2025,,
DC,Sameer Rizvi,2,,,,,,,,,,,,2025-2025,,
DC,AR Sharma,6,,,,,,,,,,,,2025-2025,,
GT,M Prasidh Krishna,7,7.0,27.0,0.0,201.0,14.0,4/41,14.35,7.44,11.5,1.0,0.0,2025-2025,,
GT,Mohammed Siraj,7,7.0,28.0,0.0,251.0,11.0,4/17,22.81,8.96,15.2,1.0,0.0,2025-2025,,
GT,R Sai Kishore,7,7.0,20.5,0.0,177.0,11.0,3/30,16.09,8.49,11.3,0.0,0.0,2025-2025,,
GT,Rashid Khan,7,7.0,26.0,0.0,253.0,4.0,2/37,63.25,9.73,39.0,0.0,0.0,2025-2025,,
GT,Arshad Khan,5,5.0,11.0,0.0,114.0,3.0,1/17,38.0,10.36,22.0,0.0,0.0,2025-2025,,
GT,K Rabada,2,2.0,8.0,0.0,83.0,2.0,1/41,41.5,10.37,24.0,0.0,0.0,2025-2025,,
GT,I Sharma,4,4.0,11.0,0.0,116.0,2.0,1/19,58.0,10.54,33.0,0.0,0.0,2025-2025,,
GT,K Khejroliya,1,1.0,3.0,0.0,29.0,1.0,1/29,29.0,9.66,18.0,0.0,0.0,2025-2025,,
GT,Washington Sundar,2,1.0,4.0,0.0,28.0,1.0,1/28,28.0,7.0,24.0,0.0,0.0,2025-2025,,
GT,JC Buttler,7,,,,,,,,,,,,2025-2025,,
GT,SE Rutherford,7,,,,,,,,,,,,2025-2025,,
GT,B Sai Sudharsan,7,,,,,,,,,,,,2025-2025,,
GT,M Shahrukh Khan,7,,,,,,,,,,,,2025-2025,,
GT,Shubman Gill,7,,,,,,,,,,,,2025-2025,,
GT,R Tewatia,7,,,,,,,,,,,,2025-2025,,
LSG,SN Thakur,8,7.0,25.0,0.0,274.0,11.0,4/34,24.9,10.96,13.6,1.0,0.0,2025-2025,,
LSG,DS Rathi,8,7.0,28.0,0.0,208.0,9.0,2/30,23.11,7.42,18.6,0.0,0.0,2025-2025,,
LSG,Ravi Bishnoi,8,7.0,26.0,0.0,279.0,8.0,2/18,34.87,10.73,19.5,0.0,0.0,2025-2025,,
LSG,Avesh Khan,7,6.0,22.3,0.0,224.0,5.0,1/32,44.8,9.95,27.0,0.0,0.0,2025-2025,,
LSG,Akash Deep,4,4.0,12.0,0.0,147.0,3.0,2/55,49.0,12.25,24.0,0.0,0.0,2025-2025,,
LSG,M Siddharth,2,2.0,7.0,0.0,67.0,2.0,2/39,33.5,9.57,21.0,0.0,0.0,2025-2025,,
LSG,AK Markram,8,2.0,5.0,0.0,40.0,1.0,1/25,40.0,8.0,30.0,0.0,0.0,2025-2025,,
LSG,Prince Yadav,3,2.0,8.0,0.0,76.0,1.0,1/29,76.0,9.5,48.0,0.0,0.0,2025-2025,,
LSG,Abdul Samad,7,1.0,0.2,0.0,6.0,0.0,,,18.0,,0.0,0.0,2025-2025,,
LSG,Shahbaz Ahmed,1,1.0,1.3,0.0,22.0,0.0,,,14.66,,0.0,0.0,2025-2025,,
LSG,A Badoni,8,,,,,,,,,,,,2025-2025,,
LSG,Himmat Singh,1,,,,,,,,,,,,2025-2025,,
LSG,MR Marsh,7,,,,,,,,,,,,2025-2025,,
LSG,DA Miller,8,,,,,,,,,,,,2025-2025,,
LSG,RR Pant,8,,,,,,,,,,,,2025-2025,,
LSG,N Pooran,8,,,,,,,,,,,,2025-2025,,
