Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
PBB Rajapaksa,1,1,0,50,50,50.0,32,156.25,0,1,0,5,2,,PBKS,2023-03-01,2023-04-01
S Dhawan,1,1,0,40,40,40.0,29,137.93,0,0,0,6,0,,PBKS,2023-03-01,2023-04-01
SM Curran,1,1,1,26,26,,17,152.94,0,0,0,0,2,,PBKS,2023-03-01,2023-04-01
Prabhsimran Singh,1,1,0,23,23,23.0,12,191.66,0,0,0,2,2,,PBKS,2023-03-01,2023-04-01
JM Sharma,1,1,0,21,21,21.0,11,190.9,0,0,0,1,2,,PBKS,2023-03-01,2023-04-01
Sikandar Raza,1,1,0,16,16,16.0,13,123.07,0,0,0,1,1,,PBKS,2023-03-01,2023-04-01
M Shahrukh Khan,1,1,1,11,11,,7,157.14,0,0,0,2,0,,PBKS,2023-03-01,2023-04-01
Arshdeep Singh,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
RD Chahar,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
R Dhawan,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
NT Ellis,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
Harpreet Brar,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
KR Mayers,1,1,0,73,73,73.0,38,192.1,0,1,0,2,7,,LSG,2023-03-01,2023-04-01
N Pooran,1,1,0,36,36,36.0,21,171.42,0,0,0,2,3,,LSG,2023-03-01,2023-04-01
A Badoni,1,1,0,18,18,18.0,7,257.14,0,0,0,1,2,,LSG,2023-03-01,2023-04-01
DJ Hooda,1,1,0,17,17,17.0,18,94.44,0,0,0,0,0,,LSG,2023-03-01,2023-04-01
KH Pandya,1,1,1,15,15,,13,115.38,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
MP Stoinis,1,1,0,12,12,12.0,10,120.0,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
KL Rahul,1,1,0,8,8,8.0,12,66.66,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
K Gowtham,1,1,1,6,6,,1,600.0,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
Avesh Khan,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
Ravi Bishnoi,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
JD Unadkat,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
MA Wood,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
Shubman Gill,1,1,0,63,63,63.0,36,175.0,0,1,0,6,3,,GT,2023-03-01,2023-04-01
V Shankar,1,1,0,27,27,27.0,21,128.57,0,0,0,2,1,,GT,2023-03-01,2023-04-01
WP Saha,1,1,0,25,25,25.0,16,156.25,0,0,0,2,2,,GT,2023-03-01,2023-04-01
B Sai Sudharsan,1,1,0,22,22,22.0,17,129.41,0,0,0,3,0,,GT,2023-03-01,2023-04-01
R Tewatia,1,1,1,15,15,,14,107.14,0,0,0,1,1,,GT,2023-03-01,2023-04-01
Rashid Khan,1,1,1,10,10,,3,333.33,0,0,0,1,1,,GT,2023-03-01,2023-04-01
HH Pandya,1,1,0,8,8,8.0,11,72.72,0,0,0,0,0,,GT,2023-03-01,2023-04-01
AS Joseph,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
JB Little,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
Mohammed Shami,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
KS Williamson,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
Yash Dayal,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
DA Warner,1,1,0,56,56,56.0,48,116.66,0,1,0,7,0,,DC,2023-03-01,2023-04-01
RR Rossouw,1,1,0,30,30,30.0,20,150.0,0,0,0,3,1,,DC,2023-03-01,2023-04-01
AR Patel,1,1,0,16,16,16.0,11,145.45,0,0,0,1,1,,DC,2023-03-01,2023-04-01
PP Shaw,1,1,0,12,12,12.0,9,133.33,0,0,0,2,0,,DC,2023-03-01,2023-04-01
Kuldeep Yadav,1,1,1,6,6,,10,60.0,0,0,0,0,0,,DC,2023-03-01,2023-04-01
Aman Hakim Khan,1,1,0,4,4,4.0,5,80.0,0,0,0,0,0,,DC,2023-03-01,2023-04-01
SN Khan,1,1,0,4,4,4.0,9,44.44,0,0,0,1,0,,DC,2023-03-01,2023-04-01
C Sakariya,1,1,0,4,4,4.0,4,100.0,0,0,0,1,0,,DC,2023-03-01,2023-04-01
R Powell,1,1,0,1,1,1.0,3,33.33,0,0,0,0,0,,DC,2023-03-01,2023-04-01
MR Marsh,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,DC,2023-03-01,2023-04-01
Mukesh Kumar,1,1,1,0,0,,1,0.0,0,0,0,0,0,,DC,2023-03-01,2023-04-01
KK Ahmed,1,,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
RD Gaikwad,1,1,0,92,92,92.0,50,184.0,0,1,0,4,9,,CSK,2023-03-01,2023-04-01
MM Ali,1,1,0,23,23,23.0,17,135.29,0,0,0,4,1,,CSK,2023-03-01,2023-04-01
S Dube,1,1,0,19,19,19.0,18,105.55,0,0,0,0,1,,CSK,2023-03-01,2023-04-01
MS Dhoni,1,1,1,14,14,,7,200.0,0,0,0,1,1,,CSK,2023-03-01,2023-04-01
AT Rayudu,1,1,0,12,12,12.0,12,100.0,0,0,0,0,1,,CSK,2023-03-01,2023-04-01
BA Stokes,1,1,0,7,7,7.0,6,116.66,0,0,0,1,0,,CSK,2023-03-01,2023-04-01
DP Conway,1,1,0,1,1,1.0,6,16.66,0,0,0,0,0,,CSK,2023-03-01,2023-04-01
RA Jadeja,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0,,CSK,2023-03-01,2023-04-01
MJ Santner,1,1,1,1,1,,3,33.33,0,0,0,0,0,,CSK,2023-03-01,2023-04-01
DL Chahar,1,,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
TU Deshpande,1,,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
RS Hangargekar,1,,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
AD Russell,1,1,0,35,35,35.0,19,184.21,0,0,0,3,2,,KKR,2023-03-01,2023-04-01
VR Iyer,1,1,0,34,34,34.0,28,121.42,0,0,0,3,1,,KKR,2023-03-01,2023-04-01
N Rana,1,1,0,24,24,24.0,17,141.17,0,0,0,3,1,,KKR,2023-03-01,2023-04-01
Rahmanullah Gurbaz,1,1,0,22,22,22.0,16,137.5,0,0,0,3,1,,KKR,2023-03-01,2023-04-01
SN Thakur,1,1,1,8,8,,3,266.66,0,0,0,0,1,,KKR,2023-03-01,2023-04-01
SP Narine,1,1,1,7,7,,2,350.0,0,0,0,0,1,,KKR,2023-03-01,2023-04-01
AS Roy,1,1,0,4,4,4.0,5,80.0,0,0,0,1,0,,KKR,2023-03-01,2023-04-01
RK Singh,1,1,0,4,4,4.0,4,100.0,0,0,0,0,0,,KKR,2023-03-01,2023-04-01
Mandeep Singh,1,1,0,2,2,2.0,4,50.0,0,0,0,0,0,,KKR,2023-03-01,2023-04-01
TG Southee,1,,,,,,,,,,,,,,KKR,2023-03-01,2023-04-01
CV Varun,1,,,,,,,,,,,,,,KKR,2023-03-01,2023-04-01
UT Yadav,1,,,,,,,,,,,,,,KKR,2023-03-01,2023-04-01
F du Plessis,9,9,1,466,84,58.25,292,159.58,0,5,0,35,28,,RCB,2023-04-01,2023-05-01
V Kohli,9,9,1,364,82,45.5,264,137.87,0,5,1,34,11,,RCB,2023-04-01,2023-05-01
GJ Maxwell,9,9,1,262,77,32.75,143,183.21,0,3,1,14,23,,RCB,2023-04-01,2023-05-01
KD Karthik,9,9,1,99,28,12.37,74,133.78,0,0,2,9,3,,RCB,2023-04-01,2023-05-01
MK Lomror,7,6,1,78,34,15.6,60,130.0,0,0,1,3,5,,RCB,2023-04-01,2023-05-01
Shahbaz Ahmed,8,6,2,42,20,10.5,39,107.69,0,0,0,3,1,,RCB,2023-04-01,2023-05-01
SS Prabhudessai,5,4,0,35,19,8.75,29,120.68,0,0,1,1,2,,RCB,2023-04-01,2023-05-01
DJ Willey,4,3,3,35,20,,32,109.37,0,0,0,4,0,,RCB,2023-04-01,2023-05-01
Anuj Rawat,4,3,1,25,15,12.5,38,65.78,0,0,0,1,0,,RCB,2023-04-01,2023-05-01
PW Hasaranga,6,4,2,21,8,10.5,20,105.0,0,0,0,1,0,,RCB,2023-04-01,2023-05-01
MG Bracewell,2,1,0,19,19,19.0,18,105.55,0,0,0,1,1,,RCB,2023-04-01,2023-05-01
Akash Deep,2,1,0,17,17,17.0,8,212.5,0,0,0,2,1,,RCB,2023-04-01,2023-05-01
V Vyshak,5,2,1,13,13,13.0,9,144.44,0,0,1,0,1,,RCB,2023-04-01,2023-05-01
HV Patel,9,2,0,6,6,3.0,6,100.0,0,0,1,0,1,,RCB,2023-04-01,2023-05-01
KV Sharma,4,2,0,3,2,1.5,5,60.0,0,0,0,0,0,,RCB,2023-04-01,2023-05-01
WD Parnell,4,1,0,2,2,2.0,5,40.0,0,0,0,0,0,,RCB,2023-04-01,2023-05-01
JR Hazlewood,1,1,1,1,1,,2,50.0,0,0,0,0,0,,RCB,2023-04-01,2023-05-01
Mohammed Siraj,9,2,1,1,1,1.0,2,50.0,0,0,1,0,0,,RCB,2023-04-01,2023-05-01
RJW Topley,1,,,,,,,,,,,,,,RCB,2023-04-01,2023-05-01
S Dhawan,6,6,2,262,99,65.5,176,148.86,0,2,0,33,9,,PBKS,2023-04-01,2023-05-01
Prabhsimran Singh,9,9,0,210,60,23.33,137,153.28,0,1,2,20,13,,PBKS,2023-04-01,2023-05-01
SM Curran,9,9,2,192,55,27.42,134,143.28,0,1,0,14,10,,PBKS,2023-04-01,2023-05-01
JM Sharma,9,9,0,190,41,21.11,117,162.39,0,0,0,13,14,,PBKS,2023-04-01,2023-05-01
Sikandar Raza,6,6,1,128,57,25.6,91,140.65,0,1,0,10,5,,PBKS,2023-04-01,2023-05-01
A Taide,5,5,0,112,66,22.4,75,149.33,0,1,1,12,3,,PBKS,2023-04-01,2023-05-01
MW Short,5,5,0,90,36,18.0,66,136.36,0,0,0,13,3,,PBKS,2023-04-01,2023-05-01
M Shahrukh Khan,9,9,4,86,23,17.2,56,153.57,0,0,0,6,5,,PBKS,2023-04-01,2023-05-01
Harpreet Singh,3,3,0,76,41,25.33,59,128.81,0,0,0,8,3,,PBKS,2023-04-01,2023-05-01
LS Livingstone,4,4,0,75,40,18.75,54,138.88,0,0,0,3,6,,PBKS,2023-04-01,2023-05-01
PBB Rajapaksa,3,3,1,71,50,35.5,59,120.33,0,1,0,6,2,,PBKS,2023-04-01,2023-05-01
Harpreet Brar,8,5,1,33,13,8.25,26,126.92,0,0,0,3,1,,PBKS,2023-04-01,2023-05-01
Arshdeep Singh,9,2,2,2,2,,2,100.0,0,0,0,0,0,,PBKS,2023-04-01,2023-05-01
R Dhawan,3,1,0,1,1,1.0,1,100.0,0,0,0,0,0,,PBKS,2023-04-01,2023-05-01
NT Ellis,5,2,0,1,1,0.5,7,14.28,0,0,1,0,0,,PBKS,2023-04-01,2023-05-01
Mohit Rathee,1,1,1,1,1,,2,50.0,0,0,0,0,0,,PBKS,2023-04-01,2023-05-01
RD Chahar,9,2,0,0,0,0.0,9,0.0,0,0,2,0,0,,PBKS,2023-04-01,2023-05-01
K Rabada,4,2,1,0,0,0.0,2,0.0,0,0,1,0,0,,PBKS,2023-04-01,2023-05-01
Gurnoor Brar,1,,,,,,,,,,,,,,PBKS,2023-04-01,2023-05-01
NT Tilak Varma,8,8,2,248,84,41.33,163,152.14,0,1,0,20,15,,MI,2023-04-01,2023-05-01
C Green,8,8,3,243,67,48.6,159,152.83,0,2,0,19,11,,MI,2023-04-01,2023-05-01
Ishan Kishan,8,8,0,211,58,26.37,164,128.65,0,1,0,26,7,,MI,2023-04-01,2023-05-01
SA Yadav,8,8,0,201,57,25.12,114,176.31,0,2,1,23,10,,MI,2023-04-01,2023-05-01
RG Sharma,8,8,0,184,65,23.0,139,132.37,0,1,0,20,10,,MI,2023-04-01,2023-05-01
TH David,8,8,4,158,45,39.5,93,169.89,0,0,1,6,12,,MI,2023-04-01,2023-05-01
N Wadhera,6,4,0,67,40,16.75,39,171.79,0,0,1,5,5,,MI,2023-04-01,2023-05-01
PP Chawla,8,2,1,23,18,23.0,18,127.77,0,0,0,1,1,,MI,2023-04-01,2023-05-01
HR Shokeen,6,2,1,23,18,23.0,16,143.75,0,0,0,4,0,,MI,2023-04-01,2023-05-01
Arshad Khan,4,2,1,17,15,17.0,13,130.76,0,0,0,0,1,,MI,2023-04-01,2023-05-01
AS Tendulkar,4,1,0,13,13,13.0,9,144.44,0,0,0,0,1,,MI,2023-04-01,2023-05-01
T Stubbs,1,1,0,5,5,5.0,10,50.0,0,0,0,0,0,,MI,2023-04-01,2023-05-01
JP Behrendorff,6,1,1,3,3,,4,75.0,0,0,0,0,0,,MI,2023-04-01,2023-05-01
JC Archer,3,1,1,1,1,,2,50.0,0,0,0,0,0,,MI,2023-04-01,2023-05-01
RP Meredith,5,1,1,0,0,,2,0.0,0,0,0,0,0,,MI,2023-04-01,2023-05-01
D Jansen,1,,,,,,,,,,,,,,MI,2023-04-01,2023-05-01
K Kartikeya,3,,,,,,,,,,,,,,MI,2023-04-01,2023-05-01
KR Mayers,9,9,0,297,73,33.0,187,158.82,0,4,2,26,20,,LSG,2023-04-01,2023-05-01
KL Rahul,9,9,1,274,74,34.25,242,113.22,0,2,0,28,4,,LSG,2023-04-01,2023-05-01
MP Stoinis,9,9,1,229,72,28.62,158,144.93,0,2,1,16,15,,LSG,2023-04-01,2023-05-01
N Pooran,9,9,1,225,62,28.12,118,190.67,0,1,1,18,17,,LSG,2023-04-01,2023-05-01
A Badoni,9,8,1,132,43,18.85,100,132.0,0,0,0,8,5,,LSG,2023-04-01,2023-05-01
KH Pandya,9,9,3,122,34,20.33,102,119.6,0,0,1,13,4,,LSG,2023-04-01,2023-05-01
DJ Hooda,9,9,1,53,17,6.62,59,89.83,0,0,0,3,1,,LSG,2023-04-01,2023-05-01
K Gowtham,4,4,2,47,23,23.5,27,174.07,0,0,0,1,4,,LSG,2023-04-01,2023-05-01
A Mishra,6,1,0,19,19,19.0,30,63.33,0,0,0,2,0,,LSG,2023-04-01,2023-05-01
Naveen-ul-Haq,4,1,0,13,13,13.0,13,100.0,0,0,0,2,0,,LSG,2023-04-01,2023-05-01
Ravi Bishnoi,9,4,3,11,5,11.0,14,78.57,0,0,0,0,0,,LSG,2023-04-01,2023-05-01
MA Wood,4,2,1,11,10,11.0,5,220.0,0,0,0,1,1,,LSG,2023-04-01,2023-05-01
JD Unadkat,3,1,0,9,9,9.0,7,128.57,0,0,0,1,0,,LSG,2023-04-01,2023-05-01
Yudhvir Singh,2,2,0,1,1,0.5,2,50.0,0,0,1,0,0,,LSG,2023-04-01,2023-05-01
Avesh Khan,7,1,1,0,0,,1,0.0,0,0,0,0,0,,LSG,2023-04-01,2023-05-01
PN Mankad,1,1,1,0,0,,0,,0,0,0,0,0,,LSG,2023-04-01,2023-05-01
R Shepherd,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,LSG,2023-04-01,2023-05-01
Yash Thakur,4,,,,,,,,,,,,,,LSG,2023-04-01,2023-05-01
Shubman Gill,7,7,0,270,67,38.57,198,136.36,0,2,1,34,3,,GT,2023-04-01,2023-05-01
DA Miller,7,7,4,180,46,60.0,119,151.26,0,0,0,10,10,,GT,2023-04-01,2023-05-01
V Shankar,5,5,2,172,63,57.33,99,173.73,0,2,0,11,11,,GT,2023-04-01,2023-05-01
B Sai Sudharsan,4,4,1,154,62,51.33,125,123.2,0,2,0,11,4,,GT,2023-04-01,2023-05-01
HH Pandya,6,6,0,146,66,24.33,118,123.72,0,1,0,10,6,,GT,2023-04-01,2023-05-01
WP Saha,7,7,0,126,47,18.0,100,126.0,0,0,0,18,1,,GT,2023-04-01,2023-05-01
A Manohar,5,4,0,86,42,21.5,47,182.97,0,0,0,6,6,,GT,2023-04-01,2023-05-01
R Tewatia,7,4,4,28,20,,10,280.0,0,0,0,1,3,,GT,2023-04-01,2023-05-01
Rashid Khan,7,2,1,3,2,3.0,2,150.0,0,0,0,0,0,,GT,2023-04-01,2023-05-01
AS Joseph,4,1,1,0,0,,0,,0,0,0,0,0,,GT,2023-04-01,2023-05-01
JB Little,5,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
Mohammed Shami,7,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
Noor Ahmad,4,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
MM Sharma,5,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
J Yadav,1,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
Yash Dayal,2,,,,,,,,,,,,,,GT,2023-04-01,2023-05-01
DA Warner,8,8,0,306,65,38.25,258,118.6,0,4,1,44,1,,DC,2023-04-01,2023-05-01
AR Patel,8,8,2,211,54,35.16,148,142.56,0,1,0,16,11,,DC,2023-04-01,2023-05-01
MK Pandey,6,6,0,132,50,22.0,110,120.0,0,1,1,14,1,,DC,2023-04-01,2023-05-01
MR Marsh,6,6,0,94,63,15.66,72,130.55,0,1,2,7,6,,DC,2023-04-01,2023-05-01
PD Salt,3,3,0,64,59,21.33,39,164.1,0,1,1,10,0,,DC,2023-04-01,2023-05-01
SN Khan,4,4,0,53,30,13.25,62,85.48,0,0,0,4,1,,DC,2023-04-01,2023-05-01
Lalit Yadav,4,4,1,48,38,16.0,42,114.28,0,0,0,5,0,,DC,2023-04-01,2023-05-01
PP Shaw,6,6,0,47,15,7.83,40,117.5,0,0,2,8,0,,DC,2023-04-01,2023-05-01
RR Rossouw,3,3,0,44,30,14.66,33,133.33,0,0,1,5,1,,DC,2023-04-01,2023-05-01
Aman Hakim Khan,5,5,0,34,18,6.8,27,125.92,0,0,1,2,2,,DC,2023-04-01,2023-05-01
A Nortje,7,5,2,34,23,11.33,22,154.54,0,0,1,6,0,,DC,2023-04-01,2023-05-01
Abishek Porel,4,4,0,33,20,8.25,31,106.45,0,0,0,1,2,,DC,2023-04-01,2023-05-01
Kuldeep Yadav,8,6,5,21,7,21.0,28,75.0,0,0,1,2,0,,DC,2023-04-01,2023-05-01
RV Patel,2,2,1,16,11,16.0,14,114.28,0,0,0,1,0,,DC,2023-04-01,2023-05-01
PK Garg,1,1,0,12,12,12.0,9,133.33,0,0,0,1,0,,DC,2023-04-01,2023-05-01
R Powell,3,3,0,7,4,2.33,9,77.77,0,0,0,1,0,,DC,2023-04-01,2023-05-01
C Sakariya,1,1,0,4,4,4.0,4,100.0,0,0,0,1,0,,DC,2023-04-01,2023-05-01
YV Dhull,2,2,0,3,2,1.5,8,37.5,0,0,0,0,0,,DC,2023-04-01,2023-05-01
Mukesh Kumar,7,2,2,1,1,,2,50.0,0,0,0,0,0,,DC,2023-04-01,2023-05-01
Mustafizur Rahman,2,1,1,1,1,,1,100.0,0,0,0,0,0,,DC,2023-04-01,2023-05-01
I Sharma,3,1,1,1,1,,1,100.0,0,0,0,0,0,,DC,2023-04-01,2023-05-01
KK Ahmed,3,,,,,,,,,,,,,,DC,2023-04-01,2023-05-01
DP Conway,8,8,2,413,92,68.83,281,146.97,0,5,1,50,13,,CSK,2023-04-01,2023-05-01
RD Gaikwad,8,8,1,262,57,37.42,193,135.75,0,1,0,19,10,,CSK,2023-04-01,2023-05-01
S Dube,8,7,0,245,52,35.0,149,164.42,0,3,0,11,20,,CSK,2023-04-01,2023-05-01
AM Rahane,7,6,1,224,71,44.8,118,189.83,0,2,0,18,11,,CSK,2023-04-01,2023-05-01
RA Jadeja,8,6,2,91,25,22.75,62,146.77,0,0,0,4,5,,CSK,2023-04-01,2023-05-01
MM Ali,7,6,2,84,23,21.0,56,150.0,0,0,0,8,4,,CSK,2023-04-01,2023-05-01
AT Rayudu,8,6,2,71,27,17.75,49,144.89,0,0,1,7,3,,CSK,2023-04-01,2023-05-01
MS Dhoni,8,5,4,60,32,60.0,28,214.28,0,0,0,1,7,,CSK,2023-04-01,2023-05-01
BA Stokes,1,1,0,8,8,8.0,8,100.0,0,0,0,1,0,,CSK,2023-04-01,2023-05-01
MJ Santner,2,1,1,1,1,,1,100.0,0,0,0,0,0,,CSK,2023-04-01,2023-05-01
Akash Singh,6,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
DL Chahar,2,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
TU Deshpande,8,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
RS Hangargekar,1,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
SSB Magala,2,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
M Pathirana,5,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
D Pretorius,1,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
M Theekshana,6,,,,,,,,,,,,,,CSK,2023-04-01,2023-05-01
YBK Jaiswal,9,9,0,428,124,47.55,268,159.7,1,3,0,56,18,,RR,2023-04-01,2023-05-01
JC Buttler,9,9,0,289,79,32.11,208,138.94,0,3,2,30,10,,RR,2023-04-01,2023-05-01
SV Samson,9,9,0,212,60,23.55,141,150.35,0,2,2,15,13,,RR,2023-04-01,2023-05-01
SO Hetmyer,9,9,4,204,56,40.8,132,154.54,0,1,0,7,16,,RR,2023-04-01,2023-05-01
D Padikkal,8,8,1,194,52,27.71,154,125.97,0,1,0,24,3,,RR,2023-04-01,2023-05-01
DC Jurel,8,8,3,132,34,26.4,69,191.3,0,0,1,10,8,,RR,2023-04-01,2023-05-01
R Ashwin,9,8,4,65,30,16.25,45,144.44,0,0,1,5,3,,RR,2023-04-01,2023-05-01
R Parag,5,5,1,54,20,13.5,48,112.5,0,0,0,3,3,,RR,2023-04-01,2023-05-01
JO Holder,8,3,1,12,11,6.0,11,109.09,0,0,1,0,1,,RR,2023-04-01,2023-05-01
Abdul Basith,1,1,1,1,1,,1,100.0,0,0,0,0,0,,RR,2023-04-01,2023-05-01
A Zampa,3,1,0,1,1,1.0,1,100.0,0,0,0,0,0,,RR,2023-04-01,2023-05-01
TA Boult,7,2,2,0,0,,1,0.0,0,0,0,0,0,,RR,2023-04-01,2023-05-01
M Ashwin,1,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
KM Asif,2,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
YS Chahal,9,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
NA Saini,1,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
Sandeep Sharma,7,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
KR Sen,2,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
K Yadav,1,,,,,,,,,,,,,,RR,2023-04-01,2023-05-01
VR Iyer,9,9,0,296,104,32.88,199,148.74,1,1,1,24,16,,KKR,2023-04-01,2023-05-01
RK Singh,9,9,4,270,58,54.0,178,151.68,0,2,0,15,19,,KKR,2023-04-01,2023-05-01
N Rana,9,9,0,233,75,25.88,153,152.28,0,1,0,21,15,,KKR,2023-04-01,2023-05-01
Rahmanullah Gurbaz,6,6,0,183,81,30.5,126,145.23,0,2,1,15,12,,KKR,2023-04-01,2023-05-01
JJ Roy,3,3,0,160,61,53.33,94,170.21,0,2,0,14,11,,KKR,2023-04-01,2023-05-01
AD Russell,9,9,2,142,38,20.28,97,146.39,0,0,1,9,11,,KKR,2023-04-01,2023-05-01
SN Thakur,6,6,1,101,68,20.2,55,183.63,0,1,2,12,4,,KKR,2023-04-01,2023-05-01
N Jagadeesan,6,6,0,89,36,14.83,81,109.87,0,0,1,14,1,,KKR,2023-04-01,2023-05-01
D Wiese,3,3,2,21,12,21.0,11,190.9,0,0,0,0,3,,KKR,2023-04-01,2023-05-01
UT Yadav,8,5,3,19,6,9.5,18,105.55,0,0,0,1,0,,KKR,2023-04-01,2023-05-01
Mandeep Singh,3,3,0,14,12,4.66,16,87.5,0,0,1,0,1,,KKR,2023-04-01,2023-05-01
SP Narine,9,7,3,13,7,3.25,16,81.25,0,0,3,1,1,,KKR,2023-04-01,2023-05-01
Litton Das,1,1,0,4,4,4.0,4,100.0,0,0,0,1,0,,KKR,2023-04-01,2023-05-01
AS Roy,2,2,0,4,4,2.0,6,66.66,0,0,1,1,0,,KKR,2023-04-01,2023-05-01
CV Varun,9,2,1,1,1,1.0,9,11.11,0,0,0,0,0,,KKR,2023-04-01,2023-05-01
VG Arora,1,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
LH Ferguson,3,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
Harshit Rana,1,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
K Khejroliya,2,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
TG Southee,2,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
Suyash Sharma,7,,,,,,,,,,,,,,KKR,2023-04-01,2023-05-01
F du Plessis,6,6,0,308,71,51.33,223,138.11,0,3,0,26,9,,RCB,2023-05-01,2023-06-01
V Kohli,6,6,1,306,101,61.2,223,137.21,2,1,0,34,5,,RCB,2023-05-01,2023-06-01
GJ Maxwell,6,6,1,142,68,28.4,80,177.5,0,2,1,15,8,,RCB,2023-05-01,2023-06-01
Anuj Rawat,6,5,3,75,29,37.5,44,170.45,0,0,0,5,4,,RCB,2023-05-01,2023-06-01
MK Lomror,6,5,1,60,54,15.0,41,146.34,0,1,0,6,3,,RCB,2023-05-01,2023-06-01
KD Karthik,5,5,0,57,30,11.4,41,139.02,0,0,2,5,3,,RCB,2023-05-01,2023-06-01
MG Bracewell,3,3,2,39,26,39.0,29,134.48,0,0,0,5,0,,RCB,2023-05-01,2023-06-01
PW Hasaranga,3,2,2,20,12,,15,133.33,0,0,0,3,0,,RCB,2023-05-01,2023-06-01
KM Jadhav,2,1,1,12,12,,10,120.0,0,0,0,1,0,,RCB,2023-05-01,2023-06-01
SS Prabhudessai,1,1,0,6,6,6.0,7,85.71,0,0,0,0,0,,RCB,2023-05-01,2023-06-01
KV Sharma,4,1,0,2,2,2.0,2,100.0,0,0,0,0,0,,RCB,2023-05-01,2023-06-01
JR Hazlewood,3,1,1,1,1,,2,50.0,0,0,0,0,0,,RCB,2023-05-01,2023-06-01
Mohammed Siraj,6,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,RCB,2023-05-01,2023-06-01
WD Parnell,3,,,,,,,,,,,,,,RCB,2023-05-01,2023-06-01
HV Patel,6,,,,,,,,,,,,,,RCB,2023-05-01,2023-06-01
Shahbaz Ahmed,2,,,,,,,,,,,,,,RCB,2023-05-01,2023-06-01
H Sharma,1,,,,,,,,,,,,,,RCB,2023-05-01,2023-06-01
V Vyshak,2,,,,,,,,,,,,,,RCB,2023-05-01,2023-06-01
LS Livingstone,5,5,1,204,94,51.0,117,174.35,0,2,0,17,13,,PBKS,2023-05-01,2023-06-01
Prabhsimran Singh,5,5,0,148,103,29.6,101,146.53,1,0,0,18,6,,PBKS,2023-05-01,2023-06-01
JM Sharma,5,5,1,119,49,29.75,81,146.91,0,0,1,9,7,,PBKS,2023-05-01,2023-06-01
S Dhawan,5,5,0,111,57,22.2,85,130.58,0,1,1,16,3,,PBKS,2023-05-01,2023-06-01
SM Curran,5,4,1,84,49,28.0,69,121.73,0,0,0,6,3,,PBKS,2023-05-01,2023-06-01
A Taide,2,2,0,74,55,37.0,54,137.03,0,1,0,8,3,,PBKS,2023-05-01,2023-06-01
M Shahrukh Khan,5,4,2,70,41,35.0,38,184.21,0,0,0,7,4,,PBKS,2023-05-01,2023-06-01
